id;ru;ua;translation_key
3076; ;;common_blank
1484; депозита выбрано;депозита обрано;depositsAreDelected
1388; депозитов выбрано;депозитів обрано;depAreSelected
3902; месяца;місяця;months
1611; счёта выбрано;Рахунок обрано;common_accountsSelected
1499; счетов выбрано;Рахунки обрано;common_accsSelected
1449;#;#;line.number.table.header
2129;[Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];[Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, інші];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие]
1895;{0} kod pidtverdzhennia avtorizatsii dijnyj do {1};{0} kod pidtverdzhennia avtorizatsii dijnyj do {1};login.newPasswordSMS
2602;0 недопустимо;0 неприпустимо;common_greaterThanZero
1346;1 депозит выбран;1 депозит обрано;oneDepositIsSelected
3044;1 календарь выбран;1 календар обрано;oneCalendarIsSelected
3061;1 пользователь выбран;1 користувача обрано;customeruser_1selected
3106;1 символ;1 символ;common_field_1symbol
2661;1 событие выбрано;1 подію обрано;events_1selected
1421;1 счёт выбран;1 рахунок обрано;common_oneAccountSelected
3607;3 буквенных символа;3-літерних символа;common_field_3letters
3855;5-7 символы счета должны быть -;5-7 символи рахунку мають бути - ;account_error_string2
1720;ALFA-BANK;ALFA-BANK;USD_CORRESPONDENT_BANK_NAME_1
1724;ALFA-BANK. МОСКВА. РОССИЯ;ALFA-BANK. МОСКВА. РОССИЯ;RUB_CORRESPONDENT_BANK_NAME_2
1905;BANK ICBC (JSC), MOSCOW;BANK ICBC (JSC), MOSCOW;VTB_CNY_CORRESPONDENT_BANK_1
2484;Block requisites: document;Block requisites: document;documentBlock
3325;C НДС (12%);C НДС (12%);paymentOrder_vat12
1907;CITIGB2L Citibank N.a., LONDON;CITIGB2L Citibank N.a., LONDON;VTB_AUD_CORRESPONDENT_BANK_1
1725;Commerzbank A.G.;Commerzbank A.G.;GBP_CORRESPONDENT_BANK_NAME_1
1726;Commerzbank A.G.;Commerzbank A.G.;CHF_CORRESPONDENT_BANK_NAME_1
1718;Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;EUR_CORRESPONDENT_BANK_NAME_1
4009;Company person id is not present;Company person id is not present;letter.validation.company.person
1633;Company person is not visible for this manager;Company person is not visible for this manager;letter.validation.invalid.company.person
4084;CRON - мануал;CRON - інструкція;cron_manual.title
4085;CRON - мануал для правильной настройки cron;CRON - інструкція для коректного налаштування cron;cron_manual.subtitle
1481;Dear {0};Dear {0};email.activation.greeting
1505;Dear {0};Dear {0};email.reset.greeting
1772;Default tariff;Default tariff;property_DEFAULT_TARIFF
1732;Default X Bank;Default X Bank;translation_26
3407;Email;Email;customeruser_email
1817;ExchangeRateDTO is null;ExchangeRateDTO is null;exchangeRateDTO.null
2013;EXPORT_ACCOUNT_TRANSFER;EXPORT_ACCOUNT_TRANSFER;integration_EXPORT_ACCOUNT_TRANSFER
2015;EXPORT_DOMESTIC_TRANSFER;EXPORT_DOMESTIC_TRANSFER;integration_EXPORT_DOMESTIC_TRANSFER
2014;EXPORT_INTERNATIONAL;EXPORT_INTERNATIONAL;integration_EXPORT_INTERNATIONAL
1526;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;email.reset.text1
1722;Halyk Saving Bank Kazakhstan,  ALMATY,  KZ;Halyk Saving Bank Kazakhstan,  ALMATY,  KZ;USD_CORRESPONDENT_BANK_NAME_3
3918;Iban валидация счета;iban валідація рахунку;constraint_iban
3615;iban имеет не правильный формат; iban має невірний формат;common.iban.wrongCode
1519;ibank account activation;ibank account activation;email.activation.title
1657;ibank password reset;ibank password reset;email.reset.title
1501;ibank Team.;ibank Team.;email.signature
1619;ibution=Просмотр/редактирование Пенсионноого отчисления;ibution=Перегляд/Редагування Пенсійного відрахування;paymentOrder_viewEditPensionContr
3811;ID клиента АБС;ID клієнта АБС;abs_client_id
1631;Id пользователя должно быть пустым;Id користувача має бути незаповненим;common.validation.creation.customer.id
1728;INDUSTRIAL AND COMMERCIAL  BANK OF CHINA,  ALMATY,  KZ;INDUSTRIAL AND COMMERCIAL  BANK OF CHINA,  ALMATY,  KZ;CNY_CORRESPONDENT_BANK_NAME_2
1727;INDUSTRIAL AND COMMERCIAL BANK OF CHINA, BEIJING, CHINA;INDUSTRIAL AND COMMERCIAL BANK OF CHINA, BEIJING, CHINA;CNY_CORRESPONDENT_BANK_NAME_1
3189;Invoiced bills for payment;Invoiced bills for payment;invoiced.title
1589;IP;IP;EventsExcelCreator.Terminal
2850;IP;IP;events_terminal
2533;IP адрес;IP адреса;sessions_terminalip
2427;IP терминала;IP терміналу;requests_terminal
3619;IP терминала;IP терміналу;events_terminal2
1900;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_USD_CORRESPONDENT_BANK_2
1906;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_CNY_CORRESPONDENT_BANK_2
1908;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_AUD_CORRESPONDENT_BANK_2
1721;KAZKOMMERTSBANK, ALMATY, KZ;KAZKOMMERTSBANK, ALMATY, KZ;USD_CORRESPONDENT_BANK_NAME_2
1770;ManagerSN;ManagerSN;property_KEY_SERIAL_NUMBER
1338;Message:;Message:;error.message
1969;Noviy palol vhoda: {0}. Nikomu ne govorite!;Noviy palol vhoda: {0}. Nikomu ne govorite!;login.newLoginPassword
3002;№ депозитного договора, Наименование организации, БИН организации;Номер депозитного договору, Назва підприємства, BIN пыдприэмства;depositNumberOrgNameOrgBin
2849;№ документа, тип заявления;№ документу, тип заявки;demand_serchHint
2621;№ контракта;№ контракту;common_contractNumber
