en;ru;kk;translation_key;is_preload
keyColumns=translation_key;actionType=check
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_1;0
Kcell;Kcell;Kcell;ps_2;0
Activ;Aсtiv;Aсtiv;ps_3;0
TELE2;TELE2;TELE2;ps_4;0
Altel;Алтел;Алтел;ps_5;0
"Kazakhtelecom" JSC;АО "Казахтелеком";"Қазақтелеком" АҚ;ps_6;0
"2DAY Telecom" LLP (Internet access "Internet at home" by Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);"2DAY Телеком"  ЖШС  (Beeline-нан "Интернет Үйде" Интернетіне қол жеткізу);ps_7;0
"TOPAZ-TELECOM" LLP;ТОО «ТОПАЗ-ТЕЛЕКОМ»; «ТОПАЗ-ТЕЛЕКОМ» ЖШС;ps_8;0
Twinncom Network;Twinncom Network;Twinncom Network;ps_9;0
OKTEL;ОКТЕЛ;ОКТЕЛ;ps_10;0
SA-Telecom fixed communication;СА-Телком фиксированная связь;СА-Телеком тыянақты байланыс;ps_11;0
Balkhash Electronic city. Internet;Балхаш Электронный Город. Интернет;Балқаш Электронды Қала. Интернет;ps_12;0
"Metro Net" LLP;ТОО «Metro Net»;«Metro Net» ЖШС;ps_13;0
"Promtel" LLP;ТОО «Promtel»;«Promtel» ЖШС;ps_14;0
"System Line" LLP;ТОО «System Line»;«System Line» ЖШС;ps_15;0
BeNetCom LLP;ТОО BeNetCom; BeNetCom ЖШС;ps_16;0
Skype;Skype;Skype;ps_17;0
Alter JET (Retail);Altel JET (Retail);Altel JET (Retail);ps_18;0
AstanaMegaTel LLP;ТОО АстанаМегаТел; АстанаМегаТел ЖШС;ps_19;0
"Transtelecom" JSC;АО «Транстелеком»; «Транстелеком» АҚ;ps_20;0
Transtelecom" JSC (Direct);АО «Транстелеком» (Direct); «Транстелеком» (Direct) АҚ;ps_21;0
"AlmaTV" LLP;ТОО «АлмаТВ»;«АлмаТВ» ЖШС;ps_22;0
"TV company "43 cahnnel" LLP;ТОО «Телекомпания «43 канал»; «Телекомпания «43 канал» ЖШС;ps_23;0
"Kazteleradio full package" JSC (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);"Қазтелерадио толық пакет" АҚ (OTAU TV);ps_24;0
"Kostanay cable networks" (Kabelnye seti Kostanay) LLP;ТОО "Кабельные сети Костаная"; "Қостанай Кабель желілері" ЖШС;ps_25;0
TAU TV*;ТАУ TV*;ТАУ TV*;ps_26;0
Bazis-Telecom of Almaty;Базис-Телеком г.Алматы;Базис-Телеком Алматы қ.;ps_27;0
Tricolor TV;Триколор ТВ;Триколор ТВ;ps_28;0
NTV-Plus;НТВ-Плюс;НТВ-Плюс;ps_29;0
ALSECO*;АЛСЕКО*;АЛСЕКО*;ps_30;0
Information computer center (ICC)*;ИВЦ*;АЕО*;ps_31;0
EPC forfait;ЭПК forfait;ЭПК forfait;ps_32;0
Zheskazgan EnergoSbyt;Жесказган ЭнергоСбыт;Жезқазған ЭнергоӨткізу;ps_33;0
AlmatyEnergoSbyt (individuals)*;АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (жеке тұлғалар)*;ps_34;0
Batys Su Arnasy;Батыс Су Арнасы;Батыс Су Арнасы;ps_35;0
Omega Xxi Shymkent (Energopotok, KazTransGazAimak, other);Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергоағын, ҚазТрансГазАймақ, өзгелер];ps_36;0
(Omega XXI) Region;[Омега XXI] Область;[Омега XXI] Облыс;ps_37;0
karagangy GorKomTrans LLP;ТОО Караганды ГорКомТранс;Қарағанды ҚалаКомТранс ЖШС;ps_38;0
Mulе Service;Мюль Сервис;Мюль Сервис;ps_39;0
Public house intercom;Народный домофон;Халықтық домофон;ps_40;0
Zholaushy-SK;Жолаушы-СК;Жолаушы-СК;ps_41;0
Koksheenergoservice *;Кокшеэнергосервис*;Кокшеэнергосервис*;ps_42;0
CenterCommunPlat-ARS;ЦентрКоммунПлат-АРС;ОрталықКоммунПлат-АРС;ps_43;0
Enterprise Speczavto-transport;Предприятие Спецавто-транспорта;Арнайы авто-көлік кәсіпорны;ps_44;0
MCC (Main Clearing Center) Kapchagai;ЕРЦ Капчагай;Қапшағай БЕО;ps_45;0
RCCG (Regional Center for Corporate Governance) Taraz [Zhambyl-zhylu, KazTransGas Aimak, others];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, ҚазТрансГаз Аймақ, өзгелер];ps_46;0
"Kostanay energy park" LLP (Kostanay Energocentr);ТОО «Костанайский ЭнергоЦентр»*;«Қостанай ЭнергоОрталығы» ЖШС*;ps_47;0
AREK-Energosbyt. International*;АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернационалды*;ps_48;0
AREK-Energosbyt. Koshchy*;АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Қосшы*;ps_49;0
Astana Gas Service*;Астана Газ Сервис*;Астана Газ Сервис*;ps_50;0
BalkhashEnergo. Electric power*;БалхашЭнерго.Электроэнергия*;БалқашЭнерго.Электр энергиясы*;ps_51;0
Burabay Su Arnasy*;Бурабай Су Арнасы*;Бурабай Су Арнасы*;ps_52;0
Gorelectroseti* LLP;ТОО Горэлектросети*;Қалаэлектржелілері ЖШС*;ps_53;0
Pavlodarlift*;Павлодарлифт*;Павлодарлифт*;ps_54;0
Kyzylzhar su JSC;АО Кызылжар су;Қызылжар су АҚ;ps_55;0
Remstroyservice*;Ремстройсервис*;Ремжөндеусервис.;ps_56;0
Ridder-HES*;Риддер-ТЭЦ*;Риддер-ЖЭЦ*;ps_57;0
Calculations and Information Centre *;РСЦ*;РСЦ*;ps_58;0
SevKazEnergo * (Akkayinsky power distribution zone );СевКазЭнерго* (Аккайынский РЭС);СолтҚазЭнерго* (Ақкайың РЭС);ps_59;0
SevKazEnergo * (Blagoveshchensky EEO);СевКазЭнерго* (Благовещенский УСЭЭ) ;СолтҚазЭнерго* (Благовещенск УСЭЭ) ;ps_60;0
SevKazEnergo * (the Vozvyshensky RPB);СевКазЭнерго* (Возвышенский РПБ) ;СолтҚазЭнерго* (Возвышенск РПБ) ;ps_61;0
SevKazEnergo * (Yesilsky EEO);СевКазЭнерго* (Есильский УСЭЭ) ;СолтҚазЭнерго* (Есил  УСЭЭ) ;ps_62;0
SevKazEnergo * (Zhambyl  power distribution zone );СевКазЭнерго* (Жамбыльский РЭС) ;СолтҚазЭнерго* (Жамбыл РЭС) ;ps_63;0
SevKazEnergo * (Korneyevsky RPB);СевКазЭнерго* (Корнеевский РПБ) ;СолтҚазЭнерго* (Корнеевск РПБ) ;ps_64;0
SevQazEnergo * (Kyzylzhar  power distribution zone );СевКазЭнерго* (Кызылжарский РЭС) ;СолтҚазЭнерго* (Қызылжар РЭС) ;ps_65;0
SevKazEnergo * (M. Zhumabayeva  power distribution zone);СевКазЭнерго*  (М.Жумабаева РЭС) ;СолтҚазЭнерго*  (М.Жумабаева РЭС) ;ps_66;0
SevKazEnergo * (Mamlyutsky  power distribution zone );СевКазЭнерго* (Мамлютский РЭС);СолтҚазЭнерго* (Мамлют РЭС);ps_67;0
SevKazEnergo * (Petropavlovsk);СевКазЭнерго* (Петропавловск) ;СолтҚазЭнерго* (Петропавл) ;ps_68;0
SevKazEnergo * (Sokolovsky USEE);СевКазЭнерго* (Соколовский УСЭЭ) ;СолтҚазЭнерго* (Соколов УСЭЭ) ;ps_69;0
SevQazEnergo * (Timiryazev  power distribution zone );СевКазЭнерго* (Тимирязевский РЭС);СолтҚазЭнерго* (Тимирязев РЭС);ps_70;0
ModusKZ Karagandy*;МодусKZ Караганды*;МодусKZ Қарағанды*;ps_71;0
ModusKZ Kokshetau*;МодусKZ Кокшетау*;МодусKZ Көкшетау*;ps_72;0
Termotranzit*;Термотранзит*;Термотранзит*;ps_73;0
"GrKomTrans for Karaganda" LLP; ТОО «ГрКомТранс по г.Караганда» ;«Қарағанды қ. бойынша ГрКомТранс»  ЖШС;ps_74;0
"Oskemen Vodokanal" MUS;ГКП «Оскемен Водоканал»;«Өскемен Су арнасы» МКК;ps_75;0
"Danko" private apartment owners' cooperative;ПКСК "Данко";"Данко" ПКСК;ps_76;0
Atyrau Heat Electical Station;Атырауская теплоэлектроцентраль ;Атырау жылуэлектроцентраль;ps_77;0
