en;ru;uk;kk;translation_key
keyColumns=translation_key;actionType=modify
Tenge;Тенге;Тенге;Tеңгесі;currency_tenge
US Dollar;Доллар США;Доллар США;АҚШ доллары;currency_us_dollar
Euro;Евро;Евро;Eуро;currency_euro
Russian Ruble;Российский рубль;Российский рубль;Ресей рублі;currency_rub
Hryvnia;Гривня;Гривня;Гривня;currency_uah
null;Главное меню;Главное меню;null;page_main_menu
null;Обзор;Обзор;null;page_review
Accounts;Счета;Счета;null;page_accounts
Deposits;Депозиты;Депозиты;null;demand_deposits
Credits;Кредиты;Кредиты;null;demand_credits
null;Корпоративные карты;Корпоративные карты;null;translation_1
null;Личный кабинет;Личный кабинет;null;translation_2
null;Денежные операции;Денежные операции;null;page_money_transactions
null;Платежи;Платежи;null;translation_3
null;Международные переводы;Международные переводы;null;translation_4
null;Перевод между своими счетами;Перевод между своими счетами;null;translation_5
null;Конвертация;Конвертация;null;translation_6
null;Длительные поручения;Длительные поручения;null;translation_7
null;Прочие операции;Прочие операции;null;page_other_transactions
null;Счета на оплату;Счета на оплату;null;translation_8
Documents for signature;Документы на подпись;Документы на подпись;Документы на подпись;page_doc_for_signature
null;Возвраты;Возвраты;null;translation_9
null;Отзывы платежей;Отзывы платежей;null;translation_10
null;Просмотр;Просмотр;null;privilege_account_view
null;Открыть новый;Открыть новый;null;privilege_account_new
null;Остаток по всем счетам;Остаток по всем счетам;null;privilege_account_balances
null;Закрытые счета;Закрытые счета;null;translation_11
null;Экспорт в Excel;Экспорт в Excel;null;privilege_account_excel
null;История транзакций;История транзакций;null;privilege_account_history
null;Выписка;Выписка;null;privilege_account_statement
null;Закрыть счет;Закрыть счет;null;privilege_account_toClose
null;Платеж;Платеж;null;privilege_account_payment
null;Перевод;Перевод;null;privilege_account_transfer
null;Просмотр;Просмотр;null;privilege_deposits_view
null;Открыть новый;Открыть новый;null;privilege_deposits_new
null;Показать закрытые;Показать закрытые;null;privilege_deposits_closed
null;Остаток;Остаток;null;privilege_deposits_balances
null;Заказать выписку;Заказать выписку;null;privilege_deposits_statement
null;Пополнить счет;Пополнить счет;null;privilege_deposits_credit
null;Просмотр/Редактирование;Просмотр/Редактирование;null;privilege_deposits_edit
null;История транзакций;История транзакций;null;privilege_deposits_history
null;Закрыть;Закрыть;null;privilege_deposits_close
null;Скрыть;Скрыть;null;privilege_deposits_hide
null;Платеж;Платеж;null;privilege_deposits_payment
null;Перевести;Перевести;null;privilege_deposits_transfer
null;Информация и предложения;Информация и предложения;null;page_information_offers
null;Курс валют;Курс валют;null;translation_12
null;Выписка;Выписка;null;translation_13
null;Почта;Почта;null;translation_14
null;Заявления;Заявления;null;page_statements
History;История действий;История действий;null;translation_15
null;Справочники;Справочники;null;page_handbooks
null;Общие;Общие;null;page_common
null;Мои;Мои;null;page_my
null;Просмотр;Просмотр;null;privilege_credits_view
null;Показать закрытые;Показать закрытые;null;privilege_credits_closed
null;Остаток;Остаток;null;privilege_credits_balances
null;Новый кредит;Новый кредит;null;privilege_credits_new
null;История транзакций;История транзакций;null;privilege_credits_history
null;Заказ выписки;Заказ выписки;null;privilege_credits_statement
null;Досрочное погашение;Досрочное погашение;null;privilege_credits_close
null;Платеж;Платеж;null;privilege_credits_payment
null;Скрыть;Скрыть;null;privilege_credits_hide
null;Просмотр;Просмотр;null;privilege_corpCards_view
null;Доступ;Доступ;null;privilege_personal
null;Просмотр;Просмотр;null;privilege_finOperations_view
null;Просмотр;Просмотр;null;privilege_payments_view
null;Просмотр;Просмотр;null;privilege_int_transfers_view
null;Просмотр;Просмотр;null;privilege_transfers_view
null;Просмотр;Просмотр;null;privilege_conversion_view
null;Просмотр;Просмотр;null;privilege_standing_orders_view
null;Просмотр;Просмотр;null;privilege_otherOperations_view
null;Просмотр;Просмотр;null;privilege_invoices_view
null;Просмотр;Просмотр;null;privilege_docsSign_view
null;Просмотр;Просмотр;null;privilege_refunds_view
null;Просмотр;Просмотр;null;privilege_reversals_view
null;Просмотр;Просмотр;null;privilege_infoAndSuggestions_view
null;Просмотр;Просмотр;null;privilege_exchangeRate_view
null;Просмотр;Просмотр;null;privilege_statement_view
null;Просмотр;Просмотр;null;privilege_message_view
null;Просмотр;Просмотр;null;privilege_demand_view
null;Просмотр;Просмотр;null;privilege_history_view
null;Просмотр;Просмотр;null;privilege_handbooks_view
null;Просмотр;Просмотр;null;privilege_commonHandbooks_view
null;Просмотр;Просмотр;null;privilege_userHandbooks_view
null;Просмотр;Просмотр;null;privilege_root_view
null;Просмотр;Просмотр;null;privilege_assets_view
null;Просмотр;Просмотр;null;privilege_tasks_view
null;Заявка на выпуск;Заявка на выпуск;null;privilege_corpCards_new
null;Заявка на перевыпуск;Заявка на перевыпуск;null;privilege_corpCards_reiss
null;Остаток по всем;Остаток по всем;null;privilege_corpCards_balance
null;Показать закрытые карты;Показать закрытые карты;null;privilege_corpCards_closed
null;Детали заблокированной суммы;Детали заблокированной суммы;null;privilege_corpCards_blocked_details
null;История транзакций;История транзакций;null;privilege_corpCards_history
null;Выписка;Выписка;null;privilege_corpCards_statement
null;Блокирование карты;Блокирование карты;null;privilege_corpCards_block
null;Перевод/конвертация валюты;Перевод/конвертация валюты;null;privilege_corpCards_transfer
null;Пополнение карты;Пополнение карты;null;privilege_corpCards_credit
null;Создать новый;Создать новый;null;privilege_payments_add
null;Создать новый;Создать новый;null;privilege_int_transfers_add
null;Создать новый;Создать новый;null;privilege_refunds_add
null;Редактировать;Редактировать;null;privilege_int_transfers_edit
null;Создать;Создать;null;privilege_message_add
null;Отправить;Отправить;null;privilege_message_sent
null;Ответить;Ответить;null;privilege_message_reply

Add;Создать;Создать;Создать;privilege_payment_service_add
View;Просмотр;Просмотр;Просмотр;privilege_payment_service_view
Edit;Редактировать;Редактировать;Редактировать;privilege_payment_service_edit

null;Экспорт в excel;Экспорт в excel;null;privilege_history_excel
null;Редактировать кредит;Редактировать кредит;null;privilege_credits_edit
null;Редактирование корпоративной карты;Редактирование корпоративной карты;null;privilege_corpCards_edit
