category;code;name_id_ru;external_id;name_id_en;name_id_kk
keyColumns= category, code; actionType=modify; translation=name_id

Currency;USD;Доллар США;1;Доллар США;Доллар США
Currency;EUR;Евро;2;Евро;Евро
Currency;RUB;Российский рубль;3;Российский рубль;Российский рубль
Currency;KZT;Казахский тенге;4;Казахский тенге;Казахский тенге
DocumentType;AccountTransfer;Перевод между счетами;8;Перевод между счетами;Перевод между счетами
DocumentType;DomesticTransfer;Платеж в национальной валюте;9;Платеж в национальной валюте;Платеж в национальной валюте
DocumentType;InternationalTransfer;Международный платеж;10;Международный платеж;Международный платеж
DocumentType;DocumentWithdraw;Отзыв документа;11;Отзыв документа;Отзыв документа
DocumentType;ExposedOrder;Выставленные мной счета;12;Выставленные мной счета;Выставленные мной счета
DocumentType;Demand;Заявление;13;Заявление;Заявление
CustomerAction;selfRegistration;Самостоятельная регистрация;27;Самостоятельная регистрация;Самостоятельная регистрация
CustomerAction;loginPassword;Вход в систему по паролю;28;Вход в систему по паролю;Вход в систему по паролю
CustomerAction;logout;Выход из системы;29;Выход из системы;Выход из системы
CustomerAction;loginWithSMS;Вход с СМС паролем;30;Вход с СМС паролем;Вход с СМС паролем
CustomerAction;persDataChangingPassword;Изменение пароля;31;Изменение пароля;Изменение пароля
CustomerAction;loginWithSert;Вход с ЭЦП;32;Вход с ЭЦП;Вход с ЭЦП
CustomerAction;sessionExp;Выход по окончанию сессии;33;Выход по окончанию сессии;Выход по окончанию сессии
CustomerAction;loginWithOTP;Вход с ОТР;34;Вход с ОТР;Вход с ОТР
CustomerAction;createPayment;Создание документа;35;Создание документа;Создание документа
CustomerAction;editPayment;Редактирование документа;36;Редактирование документа;Редактирование документа
CustomerAction;deleteDocument;Удаление документа;37;Удаление документа;Удаление документа
CustomerAction;wrongProfilePassword;Не правильный пароль хранилища ЭЦП;38;Не правильный пароль хранилища ЭЦП;Не правильный пароль хранилища ЭЦП
CustomerAction;persDataChangingInfo;Изменение персональной информации;40;Изменение персональной информации;Изменение персональной информации
CustomerAction;createStoreNote;Создание записи;41;Создание записи;Создание записи
CustomerAction;editStoreNote;Редактирвоание записи;42;Редактирвоание записи;Редактирвоание записи
CustomerAction;deleteStoreNote;Удаление записи;43;Удаление записи;Удаление записи
CustomerAction;none;Ничего;44;Ничего;Ничего
CustomerAction;signingDocument;Подисание документа;47;Подисание документа;Подисание документа
CustomerAction;rejectedDocument;Отказ оплаты;48;Отказ оплаты;Отказ оплаты
CustomerAction;createRequest;Создание заявления;49;Создание заявления;Создание заявления
CustomerAction;editRequest;Редактирование заявления;50;Редактирование заявления;Редактирование заявления
ManagerAction;loginPassword;Вход в систему по паролю;59;Вход в систему по паролю;Вход в систему по паролю
ManagerAction;logout;Выход из системы;60;Выход из системы;Выход из системы
ManagerAction;changePass;Изменение пароля;61;Изменение пароля;Изменение пароля
ManagerAction;sessionExp;Выход по окончанию сессии;62;Выход по окончанию сессии;Выход по окончанию сессии
ManagerAction;createManager;Создание нового менеджера;63;Создание нового менеджера;Создание нового менеджера
ManagerAction;createCustomerUser;Создание нового клиента;64;Создание нового клиента;Создание нового клиента
ManagerAction;editManager;Редактирование менеджера;65;Редактирование менеджера;Редактирование менеджера
ManagerAction;editCustomerUser;Редактирование клиента;66;Редактирование клиента;Редактирование клиента
ManagerAction;deleteManager;Удаление менеджера;67;Удаление менеджера;Удаление менеджера
ManagerAction;deleteCustomerUser;Удаление клиента;68;Удаление клиента;Удаление клиента
ManagerAction;blockManager;Блокирование менеджера;69;Блокирование менеджера;Блокирование менеджера
ManagerAction;blockCustomerUser;Блокирование клиента;70;Блокирование клиента;Блокирование клиента
ManagerAction;updateManagerRolePermissions;Назначение прав роли менеджера;71;Назначение прав роли менеджера;Назначение прав роли менеджера
ManagerAction;updateManagerRole;Назначение роли менеджеру;72;Назначение роли менеджеру;Назначение роли менеджеру
ManagerAction;createNews;Создание новости;73;Создание новости;Создание новости
ManagerAction;editNews;Редактирование новости;74;Редактирование новости;Редактирование новости
ManagerAction;deleteNews;Удаление новости;75;Удаление новости;Удаление новости
ManagerAction;createCalendar;Создание календаря;76;Создание календаря;Создание календаря
ManagerAction;editCalendar;Редактирование календаря;77;Редактирование календаря;Редактирование календаря
ManagerAction;deleteCalendar;Удаление календаря;78;Удаление календаря;Удаление календаря
ChannelType;web;Web;79;Web;Web
ChannelType;mobile;Mobile;80;Mobile;Mobile
LimitType;1;Дневной;91;Дневной;Дневной
LimitType;2;Недельный;92;Недельный;Недельный
LimitType;3;На месяц;93;На месяц;На месяц
