company_person_id;purpose
references=company_person_id:company_person(external_id); keyColumns=purpose, company_person_id; actionType=check
2;Оплата за поставку оборудования
2;Оплата за услуги
2;Оплата за ремонтные работы
2;Оплата за финансовый аудит
2;Оплата за строительные работы
2;Оплата за поставку бытовых товаров
2;Оплата налоговых платежей
2;Оплата пенсионных платежей
2;Оплата социальных платежей

46;Оплата за поставку оборудования
46;Оплата за услуги
46;Оплата за ремонтные работы
46;Оплата за финансовый аудит
46;Оплата за строительные работы
46;Оплата за поставку бытовых товаров
46;Оплата налоговых платежей
46;Оплата пенсионных платежей
46;Оплата социальных платежей
