is_deleted;day_date;calendar_id;description;is_working_day;working_time_from;working_time_to
references=calendar_id:calendar(name); keyColumns=day_date, calendar_id,

0;2017-01-01;Calendar 1;Выходной день;0;null;null
0;2017-01-02;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-03;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-04;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-05;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-06;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-07;Calendar 1;Выходной день;0;null;null
0;2017-01-08;Calendar 1;Выходной день;0;null;null
0;2017-01-09;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-10;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-11;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-12;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-13;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-14;Calendar 1;Выходной день;0;null;null
0;2017-01-15;Calendar 1;Выходной день;0;null;null
0;2017-01-16;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-17;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-18;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
0;2017-01-19;Calendar 1;Рабочий день;1;2017-03-01 07:00:00.0;2017-03-01 16:00:00.0
