is_deleted;name_id;swift;account_number;currency
references=name_id:translation(translation_key); keyColumns=account_number

0;EUR_CORRESPONDENT_BANK_NAME_1;COBADEFF;400886430801;EUR
0;EUR_CORRESPONDENT_BANK_NAME_2;RZBAATWW;1-55.088.223;EUR
0;USD_CORRESPONDENT_BANK_NAME_1;ALFARUMM;30111840300000000017;USD
0;USD_CORRESPONDENT_BANK_NAME_2;KZKO KZ KX;KZ769260001000209001;USD
0;USD_CORRESPONDENT_BANK_NAME_3;HSBKKZKX;KZ136010011000046278;USD
0;RUB_CORRESPONDENT_BANK_NAME_1;SABRRUMM;044525225;RUB
0;RUB_CORRESPONDENT_BANK_NAME_2;ALFARUMM;044525593;RUB
0;GBP_CORRESPONDENT_BANK_NAME_1;COBADEFF;400886430800GBP;GBP
0;CHF_CORRESPONDENT_BANK_NAME_1;COBADEFF;400886430800CHF;CHF
0;CNY_CORRESPONDENT_BANK_NAME_1;ICBKCNBJ;0101000111902562381;CNY
0;CNY_CORRESPONDENT_BANK_NAME_2;ICBKKZKX;KZ449300001000009018;CNY
