customer_id;created;document_number;document_state;document_type;director_id;workflow_state_id;custom_request_type_id;is_template;template_name;bank_response;manager;updated
references=director_id:company_person(external_id), customer_id:customer(name), workflow_state_id:workflow_state(external_id); keyColumns=document_number, customer_id, created

ТОО БЕТОН;2017-06-01 08:00:00;11/45A;SentToRBS;DomesticTransfer;1;6;null;0;null;null;;2017-08-22 11:00:00
ТОО БЕТОН;2017-06-01 08:00:00;11/46A;SentToRBS;DomesticTransfer;1;6;null;0;null;null;;2017-08-22 11:01:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1A;Draft;AccountTransfer;1;2;null;0;null;null;;2017-08-22 11:02:00
ТОО БЕТОН;2017-06-01 08:00:00;11/2A;Draft;AccountTransfer;1;2;null;0;null;null;;2017-08-22 11:03:00
ТОО БЕТОН;2017-06-01 08:00:00;17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:04:00
ТОО БЕТОН;2017-06-01 08:00:00;1-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:05:00
ТОО БЕТОН;2017-06-01 08:00:00;2-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:06:00
ТОО БЕТОН;2017-06-01 08:00:00;3-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:07:00
ТОО БЕТОН;2017-06-01 08:00:00;4-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:08:00
ТОО БЕТОН;2017-06-01 08:00:00;5-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:09:00
ТОО БЕТОН;2017-06-01 08:00:00;6-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:10:00
ТОО БЕТОН;2017-06-01 08:00:00;7-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:11:00
ТОО БЕТОН;2017-06-01 08:00:00;8-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:12:00
ТОО БЕТОН;2017-06-01 08:00:00;9-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;;2017-08-22 11:13:00
ТОО БЕТОН;2017-06-01 08:00:00;11/45A1;Draft;DocumentWithdraw;1;13;null;0;null;null;;2017-08-22 11:14:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1I;Draft;InternationalTransfer;1;2;null;0;null;null;;2017-08-22 11:15:00
ТОО БЕТОН;2017-06-01 08:00:00;11/2I;AwaitsSignature;InternationalTransfer;1;3;null;0;null;null;;2017-08-22 11:16:00
ТОО БЕТОН;2017-06-01 08:00:00;11/3I;AcceptedInRBS;InternationalTransfer;1;7;null;0;null;null;;2017-08-22 11:17:00
ТОО БЕТОН;2017-06-01 08:00:00;11/4A;Draft;AccountTransfer;1;2;null;0;null;null;;2017-08-22 11:18:00
ТОО БЕТОН;2017-06-01 08:00:00;11/5A;AcceptedInRBS;AccountTransfer;1;7;null;0;null;null;;2017-08-22 11:19:00
ТОО БЕТОН;2017-06-01 08:00:00;11/6A;AcceptedInRBS;AccountTransfer;1;7;null;0;null;null;;2017-08-22 11:20:00
Частный клиент;2017-06-01 08:00:00;11/45B;Draft;DomesticTransfer;62;2;null;0;null;null;;2017-08-22 11:21:00
Частный клиент;2017-06-01 08:00:00;11/46B;AcceptedInRBS;DomesticTransfer;62;7;null;0;null;null;;2017-08-22 11:22:00
