id1;name_id;full_name_id;code;is_deleted
references=name_id:translation(translation_key), full_name_id:translation(translation_key); keyColumns=code
1;cellular_communication;cellular_communication_full;cellular_communication;0
2;communal_payments;communal_payments_full;communal_payments;0
3;tv;tv_full;tv;0
3;internet_and_ip;internet_and_ip_full;internet_and_ip;0
4;security_services;security_services_full;security_services;0
5;online_games;online_games_full;online_games;0
6;charity;charity_full;charity;0
7;traffic_fines;traffic_fines_full;traffic_fines;0
8;educational_services;educational_services_full;educational_services;0
9;tourism;tourism_full;tourism;0
10;bookmakers;bookmakers_full;bookmakers;0
11;publishers;publishers_full;publishers;0
12;online_stores;online_stores_full;online_stores;0
13;information_portals;information_portals_full;information_portals;0
14;goods_by_catalogs;goods_by_catalogs_full;goods_by_catalogs;0
15;discount_projects;discount_projects_full;discount_projects;0
16;taxi_services;taxi_services_full;taxi_services;0
17;shipping;shipping_full;shipping;0
18;hosting;hosting_full;hosting;0
19;electronic_money;electronic_money_full;electronic_money;0
20;flights;flights_full;flights;0
21;state_services;state_services_full;state_services;0
22;other;other_full;other;0
23;all;all_full;all;0
24;cuppons;cuppons_full;cuppons;0
25;сosmetics;сosmetics_full;сosmetics;0
