id_1;category;code;name_id_ru;name_id_en;name_id_kk
keyColumns= category, code; actionType=modify; translation=name_id

1;Currency;USD;Доллар США
2;Currency;EUR;Евро
3;Currency;RUB;Российский рубль
4;Currency;KZT;Казахский тенге
8;DocumentType;AccountTransfer;Перевод между счетами
9;DocumentType;DomesticTransfer;Платеж в национальной валюте
10;DocumentType;InternationalTransfer;Международный платеж
11;DocumentType;DocumentWithdraw;Отзыв документа
12;DocumentType;ExposedOrder;Выставленные мной счета
13;DocumentType;Demand;Заявление
20;BudgetClassification;000000;Внебюджетные счета
21;BudgetClassification;104501;Единый земельный налог
22;BudgetClassification;105419;Плата за размещение наружной (визуальной) рекламы на объектах стационарного размещения рекламы в полосе отвода автомобильных дорог общего пользования республиканского значения, за исключением платы за размещение наружной (визуальной) рекламы на объек
23;BudgetClassification;201508;Доходы от аренды имущества коммунальной собственности района (города областного значения), за исключением доходов от аренды имущества коммунальной собственности района (города областного значения), находящегося в управлении акимов города районного зн
24;BudgetClassification;201903;Плата за предоставление в пользование информации о недрах
25;BudgetClassification;201905;Доходы от продажи вооружения и военной техники
27;CustomerAction;selfRegistration;Самостоятельная регистрация
28;CustomerAction;loginPassword;Вход в систему по паролю
29;CustomerAction;logout;Выход из системы
30;CustomerAction;loginWithSMS;Вход с СМС паролем
31;CustomerAction;persDataChangingPassword;Изменение пароля
32;CustomerAction;loginWithSert;Вход с ЭЦП
33;CustomerAction;sessionExp;Выход по окончанию сессии
34;CustomerAction;loginWithOTP;Вход с ОТР
35;CustomerAction;createPayment;Создание документа
36;CustomerAction;editPayment;Редактирование документа
37;CustomerAction;deleteDocument;Удаление документа
38;CustomerAction;wrongProfilePassword;Не правильный пароль хранилища ЭЦП
40;CustomerAction;persDataChangingInfo;Изменение персональной информации
41;CustomerAction;createStoreNote;Создание записи
42;CustomerAction;editStoreNote;Редактирвоание записи
43;CustomerAction;deleteStoreNote;Удаление записи
44;CustomerAction;none;Ничего
47;CustomerAction;signingDocument;Подтверждение документа
48;CustomerAction;rejectedDocument;Отказ оплаты
49;CustomerAction;createRequest;Создание заявления
50;CustomerAction;editRequest;Редактирование заявления
59;ManagerAction;loginPassword;Вход в систему по паролю
60;ManagerAction;logout;Выход из системы
61;ManagerAction;changePass;Изменение пароля
62;ManagerAction;sessionExp;Выход по окончанию сессии
63;ManagerAction;createManager;Создание нового менеджера
64;ManagerAction;createCustomerUser;Создание нового клиента
65;ManagerAction;editManager;Редактирование менеджера
66;ManagerAction;editCustomerUser;Редактирование клиента
67;ManagerAction;deleteManager;Удаление менеджера
68;ManagerAction;deleteCustomerUser;Удаление клиента
69;ManagerAction;blockManager;Блокирование менеджера
70;ManagerAction;blockCustomerUser;Блокирование клиента
71;ManagerAction;updateManagerRolePermissions;Назначение прав роли менеджера
72;ManagerAction;updateManagerRole;Назначение роли менеджеру
73;ManagerAction;createNews;Создание новости
74;ManagerAction;editNews;Редактирование новости
75;ManagerAction;deleteNews;Удаление новости
76;ManagerAction;createCalendar;Создание календаря
77;ManagerAction;editCalendar;Редактирование календаря
78;ManagerAction;deleteCalendar;Удаление календаря
79;ChannelType;web;Web
80;ChannelType;mobile;Mobile
91;LimitType;1;Дневной
92;LimitType;2;Недельный
93;LimitType;3;На месяц
94;LimitType;4;На год
95;ManagerAction;deleteManagerRole;Удаление роли менеджера
96;ManagerAction;updateUserRolePermissions;Назначение прав роли клиента
97;ManagerAction;updateUserRoles;Назначение ролей клиенту
98;ManagerAction;updateUserPersonalPermissions;Назначение индивидуальных полномочий клиенту
99;CertificateType;1;Регистрационное свидетельство для электронной цифровой подписи (ЭЦП) – регистрационное свидетельство, предназначенное для определения лица, подписавшего электронный документ
100;CertificateType;2;Регистрационное свидетельство для аутентификации – регистрационное свидетельство, предназначенное для определения лица, проходящего через процедуру входа (аутентификации) в интернет-ресурс или ИС
101;CertificateType;3; Регистрационное свидетельство SSL – регистрационное свидетельство предназначенное для использования интернет-ресурсом или ИС для обеспечения процедуры аутентификации
102;OrganizationRank;1;Главная компания
103;OrganizationRank;2;Дочерняя компания
104;OtpTokenStatus;1;Активный
105;OtpTokenStatus;2;Заблокированый
106;CreditStatus;1;Работает
107;CreditStatus;2;Не работает
108;CreditStatus;4;Закрыт
109;DepositeProductType;1;Сберегательные депозиты
110;DepositeProductType;2;Накопительные депозиты
111;DepositeProductType;3;Расчетные депозиты
112;DepositeProductType;4;Специализированные депозиты
113;DepositeProductType;5;Валютные депозиты
114;DepositeProductType;6;Мультивалютные депозиты
115;DepositeProductType;7;Металлические депозиты
116;CreditProductType;1;экспресс-кредит
117;CreditProductType;2;микрокредит
118;CreditProductType;3;малый кредит
119;CreditPaymentType;1;дифференцированный
120;CreditPaymentType;2;аннуитетный
134;CardProductType;1;зарплатные
135;CardProductType;2;корпоративные
136;CardType;1;кредитные
137;CardType;2;депозитные
138;SystemModule;1;модуль1
139;SystemModule;2;модуль2
144;CustomerAction;createLetter;Создание письма в банк
145;CustomerAction;editLetter;Редактирование письма в банк
146;CustomerAction;sendingLetter;Отправка письма в банк
147;ManagerAction;createLetter;Создание письма клиенту
148;ManagerAction;editLetter;Редактирование письма клиенту
149;ManagerAction;sendingLetter;Отправка письма клиенту
150;UserType;Manager;Менеджер
151;UserType;CustomerUser;Пользователь
152;SignLevel;A;A
153;SignLevel;B;B
154;SignLevel;C;C
155;UserStatus;active;Активный
156;UserStatus;inactive;Блокирован
157;UserStatus;deleted;Удален
158;SignLevel;D;D
159;SignLevel;E;E
160;SignLevel;F;F
161;SignLevel;G;G
162;SignLevel;H;H
163;ManagerAction;deleteUserRole;Удаление роли клиента
171;DocumentState;Signed;Подтвержден
172;DocumentState;Draft;Черновик
173;DocumentState;AwaitsSignature;Ожидает подписи
174;DocumentState;Deleted;Удалён
175;DocumentState;SentToRBS;Отправлен в ДБО
176;DocumentState;AcceptedInRBS;Отправлен в банк
177;DocumentState;AcceptedInABS;Отправлен в банк
178;DocumentState;NotAcceptedInABS;Отклонен
179;DocumentState;Revoked;Отозван
181;DocumentState;Paid;Оплачен
182;DocumentState;Refused;Отказан
192;DocumentState;Suspended;Приостановлен
183;OrganizationRole;head;Руководитель
184;OrganizationRole;accountant;Главный бухгалтер
185;OrganizationRole;operator;Оператор
186;DocumentState;Executed;Исполнен
187;DocumentState;Accepted;Принят
188;DocumentState;Pay;К оплате
189;DocumentState;Return;Возврат от банка получателя
190;PersonType;LegalEntity;Юридическое лицо
191;PersonType;PrivatePerson;Физическое лицо
201;Regions;1;Центральный
202;Regions;2;Восточный
203;Regions;3;Южный
204;AccountStatus;111;Открытый
205;ExternalSystem;1;System 1
206;ExternalSystem;2;System 2
207;ExternalSystem;3;System 3
208;PropertyType;1;Частная собственность
209;PropertyType;2;Государственная собственность
210;PropertyType;3;Коллективная собственность
235;LetterType;1;Обычное
236;LetterType;2;Специальное
237;EventType;1;Новое
238;EventType;2;Событие
239;CommissionType;1;Комиссия за выпуск карты
240;CommissionType;2;Комиссия за годовое обслуживание карты
241;CommissionType;3;Комиссия за перевыпуск карты
242;CommissionType;4;Комиссия за снятие наличных средств
243;CardStatusShow;1;Новая
244;CardStatusShow;2;Активная
245;CardStatusShow;3;Заблокированая
246;CardStatusShow;4;Закрытая
247;DocumentStateShow;1;Новый
248;DocumentStateShow;2;Подписаный
249;DocumentStateShow;3;Обработка
250;DocumentTypeShow;1;Тип документа
401;CardLockReason;1;Карта потеряна
402;CardLockReason;2;Карта украдена
403;CardLockReason;3;Компрометация карты
404;CardLockReason;4;Другие
405;CardUnlockReason;1;Карта найдена
406;CardUnlockReason;2;Другие
440;City;1;Алматы
441;City;2;Астана
442;City;3;Актау
443;City;4;Караганда
500;CustomRequestFieldType;Label;Label
501;CustomRequestFieldType;descr;descr
502;CustomRequestFieldType;Hidden;Hidden
503;CustomRequestFieldType;Text;Text
504;CustomRequestFieldType;Number;Number
505;CustomRequestFieldType;Email;Email
506;CustomRequestFieldType;MultiLine;MultiLine
507;CustomRequestFieldType;date_type;date_type
508;CustomRequestFieldType;Select;Select
509;CustomRequestFieldType;MultiSelect;MultiSelect
510;CustomRequestFieldType;Checkbox;Checkbox
511;CustomRequestFieldType;Files;Files
550;LoanTerm;1;1
551;LoanTerm;2;2
552;LoanTerm;3;3
553;LoanTerm;4;4
554;LoanTerm;5;5
560;CustomRequestFieldsReference;OrgName;OrgName
561;CustomRequestFieldsReference;UserName;UserName
562;CustomRequestFieldsReference;TaxCode;TaxCode
563;CustomRequestFieldsReference;ChooseAccount;ChooseAccount
564;CustomRequestFieldsReference;ChooseDeposit;ChooseDeposit
565;CustomRequestFieldsReference;ChooseCredit;ChooseCredit
566;CustomRequestFieldsReference;ChooseCard;ChooseCard
580;CustomRequestCategory;Cash;Заказ наличности
600;BooleanType;true;Да
601;BooleanType;false;Нет
603;DemandEndPoint;awp;Управление в АРМ
604;DemandEndPoint;email;только email
605;DemandEndPoint;xml;xml
610;RelatedButton;CloseAccount;Закрыть счет
611;RelatedButton;OpenAccount;Открыть счет
612;RelatedButton;OpenDeposit;Открыть депозит
613;RelatedButton;CloseDeposit;Закрыть депозит
614;RelatedButton;OpenCredit;Открыть кредит
615;RelatedButton;CloseCredit;Закрыть кредит
616;RelatedButton;CreateCard;Создание карты
617;RelatedButton;ReCreateCard;Создание карты
618;RelatedButton;BlockCard;Блокирование карты
630;FeeType;OUR;комиссию оплачивает отправитель
631;FeeType;SHA;расходы на стороне отправителя платит отправителб, расходы на стороне получателя платит получатель
632;FeeType;BEN;расходы по платежу несет получатель
713;AccountType;Credit;Кредитный
714;AccountType;Deposit;Депозитный
715;AccountType;Card;Карточный
716;AccountType;Current;Текущий
794;Currency;JPY;Японская Иена
795;Currency;GBP;Британский фунт
796;Currency;CNY;Китайский юань
900;StandingType;Single;Однократно
901;StandingType;Daily;Ежедневно
902;StandingType;Weekly;Еженедельно
903;StandingType;Monthly;Ежемесячно
904;StandingType;Annual;Ежегодно
920;ResidencyAndEconomic;11;Резидент. Центральное Правительство.
921;ResidencyAndEconomic;12;Резидент. Региональные и местные органы управления.
922;ResidencyAndEconomic;13;Резидент. Центральные (национальные) банки.
923;ResidencyAndEconomic;14;Резидент. Другие депозитные организации.
924;ResidencyAndEconomic;15;Резидент. Другие финансовые организации.
925;ResidencyAndEconomic;16;Резидент. Государственные нефинансовые организации.
926;ResidencyAndEconomic;17;Резидент. Негосударственные нефинансовые организации.
927;ResidencyAndEconomic;18;Резидент. Некоммерческие организации, обслуживающие домашние хозяйства.
928;ResidencyAndEconomic;19;Резидент. Домашние хозяйства.
929;ResidencyAndEconomic;21;Нерезидент. Центральное Правительство.
930;ResidencyAndEconomic;22;Нерезидент. Региональные и местные органы управления.
931;ResidencyAndEconomic;23;Нерезидент. Центральные (национальные) банки.
932;ResidencyAndEconomic;24;Нерезидент. Другие депозитные организации.
933;ResidencyAndEconomic;25;Нерезидент. Другие финансовые организации.
934;ResidencyAndEconomic;26;Нерезидент. Государственные нефинансовые организации.
935;ResidencyAndEconomic;27;Нерезидент. Негосударственные нефинансовые организации.
936;ResidencyAndEconomic;28;Нерезидент. Некоммерческие организации, обслуживающие домашние хозяйства.
937;ResidencyAndEconomic;29;Нерезидент. Домашние хозяйства.
1300;CurrencyOperationType;01010;Продажа резидентом иностранной валюты за валюту Российской Федерации
1301;CurrencyOperationType;01030;Покупка резидентом иностранной валюты за валюту Российской Федерации
1302;CurrencyOperationType;01040;Покупка (продажа) резидентом одной иностранной валюты за другую иностранную валюту
1303;CurrencyOperationType;02010;Покупка нерезидентом валюты Российской Федерации за иностранную валюту
1304;CurrencyOperationType;02020;Продажа нерезидентом валюты Российской Федерации за иностранную валюту
1305;CurrencyOperationType;10100;"Расчеты нерезидента в виде предварительной оплаты резиденту товаров, вывозимых с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 22 настоящего Перечня"
1306;CurrencyOperationType;10200;"Расчеты нерезидента при предоставлении резидентом отсрочки платежа за товары, вывезенные с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения (отсрочка платежа), за исключением расчетов, указанных в группе 22 настоящего Перечня"
1307;CurrencyOperationType;10800;"Расчеты резидента в пользу нерезидента, связанные с возвратом излишне полученных денежных средств при вывозе товаров с территории Российской Федерации, за исключением расчетов по коду 22800"
1308;CurrencyOperationType;11100;"Расчеты резидента в виде предварительной оплаты нерезиденту товаров, ввозимых на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 23 настоящего Перечня"
1309;CurrencyOperationType;11200;"Расчеты резидента при предоставлении нерезидентом отсрочки платежа за товары, ввезенные на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (отсрочка платежа), за исключением расчетов, указанных в группе 23 настоящего Перечня"
1310;CurrencyOperationType;11900;"Расчеты нерезидента в пользу резидента, связанные с возвратом излишне полученных денежных средств при ввозе товаров на территорию Российской Федерации, за исключением расчетов по коду 23900"
