id_1;action_type;currency;status;action;privs;priority
1;Account;null;null;details;null;1
2;Account;null;null;history;null;99
3;Account;null;null;statement;null;3
4;Deposit;null;null;details;null;1
5;Deposit;null;null;history;null;99
6;Deposit;null;null;statement;null;2
7;Credit;null;null;details;null;1
8;Credit;null;null;history;null;99
9;Credit;null;null;statement;null;2
10;Card;null;null;details;null;1
11;Card;null;null;history;null;99
12;Card;null;null;statement;null;3
15;Account;KZT;Active;paymentFromAccount;null;6
16;Account;null;Active;transferConversion;null;7
18;Account;USD;Active;intTransferOrder;null;9
19;Account;EUR;Active;intTransferOrder;null;10
20;Account;RUB;Active;intTransferOrder;null;11
54;Account;null;Active;sendRequisites;null;12
21;Deposit;null;Active;transferConversion;null;3
22;Deposit;USD;Active;intTransferOrder;null;5
23;Deposit;EUR;Active;intTransferOrder;null;6
24;Deposit;RUB;Active;intTransferOrder;null;7
25;Deposit;null;Active;closeDepositOrder;null;8
26;Deposit;null;Blocked;closeDepositOrder;null;9
28;Deposit;null;Active;depositReplenishment;null;11
29;Credit;null;Active;transferConversion;null;3
30;Credit;USD;Active;intTransferOrder;null;5
31;Credit;EUR;Active;intTransferOrder;null;6
32;Credit;RUB;Active;intTransferOrder;null;7
33;Credit;KZT;Active;issueTranche;null;8
34;Credit;null;Active;prescheduledRepaymentOrder;null;9
35;Credit;null;Blocked;prescheduledRepaymentOrder;null;10
36;Credit;null;Overdue;prescheduledRepaymentOrder;null;11
37;Credit;null;Active;loanPayment;null;12
38;Credit;null;Blocked;loanPayment;null;13
39;Credit;null;Overdue;loanPayment;null;14
40;Card;null;Active;transferConversion;null;4
45;Card;null;Active;openCardOrder;null;6
46;Card;null;Blocked;openCardOrder;null;7
47;Card;null;Active;creditCard;null;8
48;Card;null;Blocked;creditCard;null;9
49;Card;null;Active;block;null;10
52;Card;null;Blocked;unblockCard;null;13
53;Card;null;null;blockedAmountDetails;null;14
58;Account;null;Active;transferTransfer;null;8
55;Deposit;null;Active;transferTransfer;null;4
56;Credit;null;Active;transferTransfer;null;4
57;Card;null;Active;transferTransfer;null;5
