en;ru;kk;translation_key
Tenge;Тенге;Теңге;currency_tenge
US dollar;Доллар США;АҚШ доллары;currency_us_dollar
Euro;Евро;Еуро;currency_euro
Russian rouble;Российский рубль;Ресей рублі;currency_rub
Home menu;Главное меню;Бас мәзір;page_main_menu
Overview;Обзор;Шолу;page_review
Invoices;Счета;Шоттар;page_accounts
Deposits;Депозиты;Депозиттер;demand_deposits
Credits ;Кредиты;Кредиттер;demand_credits
Corporate cards;Корпоративные карты;Корпоративтік  карталар;translation_1
Personal account;Личный кабинет;Жеке кабинет;translation_2
Monetary transactions;Денежные операции;Ақшалай операциялар;page_money_transactions
Payments;Платежи;Төлемдер;translation_3
International transfers;Международные переводы;Халықаралық  аударымдар;translation_4
Transfer between own accounts ;Перевод между своими счетами;Өз шоттары арасындағы аударым;translation_5
Conversion;Конвертация;Конвертация;translation_6
Standing orders ;Длительные поручения;Ұзақ тапсырмалар ;translation_7
Other operations;Прочие операции;Басқа операциялар;page_other_transactions
Invoices for payment;Счета на оплату;Төлем шоты;translation_8
Document for signature;Документы на подпись;Қол қоюға құжаттар;page_doc_for_signature
Returns;Возвраты;Қайтарулар;translation_9
Payments recall;Отзывы платежей;Төлемдерді кері шақыртулар;translation_10
Lookup;Просмотр;Қарау;privilege_account_view
Open a new;Открыть новый;Жаңасын ашу;privilege_account_new
Balance on all accounts;Остаток по всем счетам;Барлық шоттар бойынша қалдық;privilege_account_balances
Closed accounts;Закрытые счета;Жабық шоттар;translation_11
Export to Excel;Экспорт в Excel;Excel-ге экспорт;privilege_account_excel
Transaction history;История транзакций;Транзакциялар тарихы;privilege_account_history
Extract;Выписка;Үзінді көшірме;privilege_account_statement
Close an account;Закрыть счет;Шотты жабу;privilege_account_toClose
Payment;Платеж;Төлем;privilege_account_payment
Transfer;Перевод;Аударым;privilege_account_transfer
Lookup;Просмотр;Қарау;privilege_deposits_view
Open a new;Открыть новый;Жаңасын ашу;privilege_deposits_new
Show closed;Показать закрытые;Жабықтарды көрсету;privilege_deposits_closed
Balance;Остаток;Қалдық;privilege_deposits_balances
To order an extract;Заказать выписку;Үзінді көшірмеге тапсырыс беру;privilege_deposits_statement
Reolenish account;Пополнить счет;Шотты толтыру;privilege_deposits_credit
Viewing/Editing;Просмотр/Редактирование;Қарау / Редакциялау;privilege_deposits_edit
Transaction history;История транзакций;Транзакциялар тарихы;privilege_deposits_history
Close;Закрыть;Жабу;privilege_deposits_close
Hide;Скрыть;Жасыру;privilege_deposits_hide
Payment;Платеж;Төлем;privilege_deposits_payment
Transfer;Перевести;Аудару;privilege_deposits_transfer
Information and offers;Информация и предложения;Ақпарат пен ұсыныстар;page_information_offers
Exchange rates;Курс валют;Валюталардың бағамы;translation_12
Extract;Выписка;Үзінді көшірме;translation_13
mail;Почта;Пошта;translation_14
Applications;Заявления;Өтініштер ;page_statements
Actions history;История действий;Әрекеттер тарихы;translation_15
Directories;Справочники;Анықтамалықтар;page_handbooks
General;Общие;Жалпы;page_common
My;Мои;Менің;page_my
Lookup;Просмотр;Қарау;privilege_credits_view
Show closed;Показать закрытые;Жабықтарды көрсету;privilege_credits_closed
Balance;Остаток;Қалдық;privilege_credits_balances
New credit;Новый кредит;Жаңа кредит;privilege_credits_new
Transaction history;История транзакций;Транзакциялар тарихы;privilege_credits_history
Order an extract;Заказ выписки;Үзінді көшірмеге тапсырыс;privilege_credits_statement
Anticipated redemption;Досрочное погашение;Мерзімінен бұрын өтеу;privilege_credits_close
Payment;Платеж;Төлем;privilege_credits_payment
Hide;Скрыть;Жасыру;privilege_credits_hide
Lookup;Просмотр;Қарау;privilege_corpCards_view
Access;Доступ;Қол жеткізу;privilege_personal
Lookup;Просмотр;Қарау;privilege_finOperations_view
Lookup;Просмотр;Қарау;privilege_payments_view
Lookup;Просмотр;Қарау;privilege_int_transfers_view
Lookup;Просмотр;Қарау;privilege_transfers_view
Lookup;Просмотр;Қарау;privilege_conversion_view
Lookup;Просмотр;Қарау;privilege_standing_orders_view
Lookup;Просмотр;Қарау;privilege_otherOperations_view
Lookup;Просмотр;Қарау;privilege_invoices_view
Lookup;Просмотр;Қарау;privilege_docsSign_view
Lookup;Просмотр;Қарау;privilege_refunds_view
Lookup;Просмотр;Қарау;privilege_reversals_view
Lookup;Просмотр;Қарау;privilege_infoAndSuggestions_view
Lookup;Просмотр;Қарау;privilege_exchangeRate_view
Lookup;Просмотр;Қарау;privilege_statement_view
Lookup;Просмотр;Қарау;privilege_message_view
Lookup;Просмотр;Қарау;privilege_demand_view
Lookup;Просмотр;Қарау;privilege_history_view
Lookup;Просмотр;Қарау;privilege_handbooks_view
Lookup;Просмотр;Қарау;privilege_commonHandbooks_view
Lookup;Просмотр;Қарау;privilege_userHandbooks_view
Lookup;Просмотр;Қарау;privilege_root_view
Lookup;Просмотр;Қарау;privilege_assets_view
Application for release;Заявка на выпуск;Шығаруға өтінім;privilege_corpCards_new
Application for reissue;Заявка на перевыпуск;Қайта шығаруға өтінім;privilege_corpCards_reiss
Balance on all;Остаток по всем;Барлығы бойынша қалдық;privilege_corpCards_balance
