en;ru;kk;translation_key;is_preload
keyColumns=translation_key;actionType=check
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_1;0
Kcell;Kcell;Kcell;ps_2;0
Aсtiv;Aсtiv;Aсtiv;ps_3;0
TELE2;TELE2;TELE2;ps_4;0
Алтел;Алтел;Алтел;ps_5;0
АО "Казахтелеком";АО "Казахтелеком";АО "Казахтелеком";ps_6;0
ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ps_7;0
ТОО «ТОПАЗ-ТЕЛЕКОМ»;ТОО «ТОПАЗ-ТЕЛЕКОМ»;ТОО «ТОПАЗ-ТЕЛЕКОМ»;ps_8;0
Twinncom Network;Twinncom Network;Twinncom Network;ps_9;0
ОКТЕЛ;ОКТЕЛ;ОКТЕЛ;ps_10;0
СА-Телком фиксированная связь;СА-Телком фиксированная связь;СА-Телком фиксированная связь;ps_11;0
Балхаш Электронный Город. Интернет;Балхаш Электронный Город. Интернет;Балхаш Электронный Город. Интернет;ps_12;0
ТОО «Metro Net»;ТОО «Metro Net»;ТОО «Metro Net»;ps_13;0
ТОО «Promtel»;ТОО «Promtel»;ТОО «Promtel»;ps_14;0
ТОО «System Line»;ТОО «System Line»;ТОО «System Line»;ps_15;0
ТОО BeNetCom;ТОО BeNetCom;ТОО BeNetCom;ps_16;0
Skype;Skype;Skype;ps_17;0
Altel JET (Retail);Altel JET (Retail);Altel JET (Retail);ps_18;0
ТОО АстанаМегаТел;ТОО АстанаМегаТел;ТОО АстанаМегаТел;ps_19;0
АО «Транстелеком»;АО «Транстелеком»;АО «Транстелеком»;ps_20;0
АО «Транстелеком» (Direct);АО «Транстелеком» (Direct);АО «Транстелеком» (Direct);ps_21;0
ТОО «АлмаТВ»;ТОО «АлмаТВ»;ТОО «АлмаТВ»;ps_22;0
ТОО «Телекомпания «43 канал»;ТОО «Телекомпания «43 канал»;ТОО «Телекомпания «43 канал»;ps_23;0
АО "Казтелерадио полный пакет" (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);ps_24;0
ТОО "Кабельные сети Костаная";ТОО "Кабельные сети Костаная";ТОО "Кабельные сети Костаная";ps_25;0
ТАУ TV*;ТАУ TV*;ТАУ TV*;ps_26;0
Базис-Телеком г.Алматы;Базис-Телеком г.Алматы;Базис-Телеком г.Алматы;ps_27;0
Триколор ТВ;Триколор ТВ;Триколор ТВ;ps_28;0
НТВ-Плюс;НТВ-Плюс;НТВ-Плюс;ps_29;0
АЛСЕКО*;АЛСЕКО*;АЛСЕКО*;ps_30;0
ИВЦ*;ИВЦ*;ИВЦ*;ps_31;0
ЭПК forfait;ЭПК forfait;ЭПК forfait;ps_32;0
Жесказган ЭнергоСбыт;Жесказган ЭнергоСбыт;Жесказган ЭнергоСбыт;ps_33;0
АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (физ. лица)*;ps_34;0
Батыс Су Арнасы;Батыс Су Арнасы;Батыс Су Арнасы;ps_35;0
Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];ps_36;0
[Омега XXI] Область;[Омега XXI] Область;[Омега XXI] Область;ps_37;0
ТОО Караганды ГорКомТранс;ТОО Караганды ГорКомТранс;ТОО Караганды ГорКомТранс;ps_38;0
Мюль Сервис;Мюль Сервис;Мюль Сервис;ps_39;0
Народный домофон;Народный домофон;Народный домофон;ps_40;0
Жолаушы-СК;Жолаушы-СК;Жолаушы-СК;ps_41;0
Кокшеэнергосервис*;Кокшеэнергосервис*;Кокшеэнергосервис*;ps_42;0
ЦентрКоммунПлат-АРС;ЦентрКоммунПлат-АРС;ЦентрКоммунПлат-АРС;ps_43;0
Предприятие Спецавто-транспорта;Предприятие Спецавто-транспорта;Предприятие Спецавто-транспорта;ps_44;0
ЕРЦ Капчагай;ЕРЦ Капчагай;ЕРЦ Капчагай;ps_45;0
РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];ps_46;0
ТОО «Костанайский ЭнергоЦентр»*;ТОО «Костанайский ЭнергоЦентр»*;ТОО «Костанайский ЭнергоЦентр»*;ps_47;0
АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернациональное*;ps_48;0
АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Кощи*;ps_49;0
Астана Газ Сервис*;Астана Газ Сервис*;Астана Газ Сервис*;ps_50;0
БалхашЭнерго.Электроэнергия*;БалхашЭнерго.Электроэнергия*;БалхашЭнерго.Электроэнергия*;ps_51;0
Бурабай Су Арнасы*;Бурабай Су Арнасы*;Бурабай Су Арнасы*;ps_52;0
ТОО Горэлектросети*;ТОО Горэлектросети*;ТОО Горэлектросети*;ps_53;0
Павлодарлифт*;Павлодарлифт*;Павлодарлифт*;ps_54;0
АО Кызылжар су;АО Кызылжар су;АО Кызылжар су;ps_55;0
Ремстройсервис*;Ремстройсервис*;Ремстройсервис*;ps_56;0
Риддер-ТЭЦ*;Риддер-ТЭЦ*;Риддер-ТЭЦ*;ps_57;0
РСЦ*;РСЦ*;РСЦ*;ps_58;0
СевКазЭнерго* (Аккайынский РЭС);СевКазЭнерго* (Аккайынский РЭС);СевКазЭнерго* (Аккайынский РЭС);ps_59;0
СевКазЭнерго* (Благовещенский УСЭЭ) ;СевКазЭнерго* (Благовещенский УСЭЭ) ;СевКазЭнерго* (Благовещенский УСЭЭ) ;ps_60;0
СевКазЭнерго* (Возвышенский РПБ) ;СевКазЭнерго* (Возвышенский РПБ) ;СевКазЭнерго* (Возвышенский РПБ) ;ps_61;0
СевКазЭнерго* (Есильский УСЭЭ) ;СевКазЭнерго* (Есильский УСЭЭ) ;СевКазЭнерго* (Есильский УСЭЭ) ;ps_62;0
СевКазЭнерго* (Жамбыльский РЭС) ;СевКазЭнерго* (Жамбыльский РЭС) ;СевКазЭнерго* (Жамбыльский РЭС) ;ps_63;0
СевКазЭнерго* (Корнеевский РПБ) ;СевКазЭнерго* (Корнеевский РПБ) ;СевКазЭнерго* (Корнеевский РПБ) ;ps_64;0
СевКазЭнерго* (Кызылжарский РЭС) ;СевКазЭнерго* (Кызылжарский РЭС) ;СевКазЭнерго* (Кызылжарский РЭС) ;ps_65;0
СевКазЭнерго*  (М.Жумабаева РЭС) ;СевКазЭнерго*  (М.Жумабаева РЭС) ;СевКазЭнерго*  (М.Жумабаева РЭС) ;ps_66;0
СевКазЭнерго* (Мамлютский РЭС);СевКазЭнерго* (Мамлютский РЭС);СевКазЭнерго* (Мамлютский РЭС);ps_67;0
СевКазЭнерго* (Петропавловск) ;СевКазЭнерго* (Петропавловск) ;СевКазЭнерго* (Петропавловск) ;ps_68;0
СевКазЭнерго* (Соколовский УСЭЭ) ;СевКазЭнерго* (Соколовский УСЭЭ) ;СевКазЭнерго* (Соколовский УСЭЭ) ;ps_69;0
СевКазЭнерго* (Тимирязевский РЭС);СевКазЭнерго* (Тимирязевский РЭС);СевКазЭнерго* (Тимирязевский РЭС);ps_70;0
МодусKZ Караганды*;МодусKZ Караганды*;МодусKZ Караганды*;ps_71;0
МодусKZ Кокшетау*;МодусKZ Кокшетау*;МодусKZ Кокшетау*;ps_72;0
Термотранзит*;Термотранзит*;Термотранзит*;ps_73;0
ТОО «ГрКомТранс по г.Караганда» ; ТОО «ГрКомТранс по г.Караганда» ; ТОО «ГрКомТранс по г.Караганда» ;ps_74;0
ГКП «Оскемен Водоканал»;ГКП «Оскемен Водоканал»;ГКП «Оскемен Водоканал»;ps_75;0
ПКСК "Данко";ПКСК "Данко";ПКСК "Данко";ps_76;0
Атырауская теплоэлектроцентраль ;Атырауская теплоэлектроцентраль ;Атырауская теплоэлектроцентраль ;ps_77;0
ТОО "Астана-Тазарту";ТОО "Астана-Тазарту";ТОО "Астана-Тазарту";ps_78;0
