"id";"ru";"translation_key"
1039;Тенге;currency_tenge
1040;Доллар США;currency_us_dollar
1041;Евро;currency_euro
1042;Российский рубль;currency_rub
1043;Гривня;currency_uah
1044;Главное меню;page_main_menu
1045;Обзор;page_review
1046;Счета;page_accounts
1047;Депозиты;demand_deposits
1048;Кредиты;demand_credits
1049;Корпоративные карты;translation_1
1050;Личный кабинет;translation_2
1051;Денежные операции;page_money_transactions
1052;Платежи;translation_3
1053;Международные переводы;translation_4
1054;Перевод между своими счетами;translation_5
1055;Конвертация;translation_6
1056;Длительные поручения;translation_7
1057;Прочие операции;page_other_transactions
1058;Счета на оплату;translation_8
1059;Документы на подпись;page_doc_for_signature
1060;Возвраты;translation_9
1061;Отзывы платежей;translation_10
1062;Просмотр;privilege_account_view
1063;Открыть новый;privilege_account_new
1064;Остаток по всем счетам;privilege_account_balances
1065;Закрытые счета;translation_11
1066;Экспорт в Excel;privilege_account_excel
1067;История транзакций;privilege_account_history
1068;Выписка;privilege_account_statement
1069;Закрыть счет;privilege_account_toClose
1070;Платеж;privilege_account_payment
1071;Перевод;privilege_account_transfer
1072;Просмотр;privilege_deposits_view
1073;Открыть новый;privilege_deposits_new
1074;Показать закрытые;privilege_deposits_closed
1075;Остаток;privilege_deposits_balances
1076;Заказать выписку;privilege_deposits_statement
1077;Пополнить счет;privilege_deposits_credit
1078;Просмотр/Редактирование;privilege_deposits_edit
1079;История транзакций;privilege_deposits_history
1080;Закрыть;privilege_deposits_close
1081;Скрыть;privilege_deposits_hide
1082;Платеж;privilege_deposits_payment
1083;Перевести;privilege_deposits_transfer
1084;Информация и предложения;page_information_offers
1085;Курс валют;translation_12
1086;Выписка;translation_13
1087;Почта;translation_14
1088;Заявления;page_statements
1089;История действий;translation_15
1090;Справочники;page_handbooks
1091;Общие;page_common
1092;Мои;page_my
1093;Просмотр;privilege_credits_view
1094;Показать закрытые;privilege_credits_closed
1095;Остаток;privilege_credits_balances
1096;Новый кредит;privilege_credits_new
1097;История транзакций;privilege_credits_history
1098;Заказ выписки;privilege_credits_statement
1099;Досрочное погашение;privilege_credits_close
1100;Платеж;privilege_credits_payment
1101;Скрыть;privilege_credits_hide
1102;Просмотр;privilege_corpCards_view
1103;Доступ;privilege_personal
1104;Просмотр;privilege_finOperations_view
1105;Просмотр;privilege_payments_view
1106;Просмотр;privilege_int_transfers_view
1107;Просмотр;privilege_transfers_view
1108;Просмотр;privilege_conversion_view
1109;Просмотр;privilege_standing_orders_view
1110;Просмотр;privilege_otherOperations_view
1111;Просмотр;privilege_invoices_view
1112;Просмотр;privilege_docsSign_view
1113;Просмотр;privilege_refunds_view
1114;Просмотр;privilege_reversals_view
1115;Просмотр;privilege_infoAndSuggestions_view
1116;Просмотр;privilege_exchangeRate_view
1117;Просмотр;privilege_statement_view
1118;Просмотр;privilege_message_view
1119;Просмотр;privilege_demand_view
1120;Просмотр;privilege_history_view
1121;Просмотр;privilege_handbooks_view
1122;Просмотр;privilege_commonHandbooks_view
1123;Просмотр;privilege_userHandbooks_view
1124;Просмотр;privilege_root_view
1125;Просмотр;privilege_assets_view
1126;Просмотр;privilege_tasks_view
1127;Заявка на выпуск;privilege_corpCards_new
1128;Заявка на перевыпуск;privilege_corpCards_reiss
1129;Остаток по всем;privilege_corpCards_balance
