en;ru;kk;translation_key;output_channel
;;;;
Accrued compensation;Начисленное вознаграждение;Есептелген сыйақы;accrued_compensation;W
Create keys;Создать ключи;Кілт жасау;vc_keysRequest;W
New document type;Добавить тип;Түрді қосу;signingrules_addDocType;W
Symbol;Символ;Таңба;currency_currencycode;W
Value;Значение;Мән;global_settings.constants.table.col.value;W
A calendar name;Название календаря;Күнтізбенің атауы;calendarName;W
Approved;Утверждён;Бекітілді;approved;W
Creating a Document type;Создание Типа документа;Құжат түрін жасау;creatingDocType;W
Payer detail;Плательщик;Төлеуші;paymentOrder_payerDetail;W
Terminal IP;IP терминала;Терминалдың IP;requests_terminal;W
Incorrect email;Неверный email;Қате email;common_incorrectEmail;W
Started;Старт;Бастау;jobs.started;W
Password confirmation;Подтверждение пароля;Құпиясөзді растау;customeruser_passwordConfirmation;W
Details;Просмотреть;Қарап шығу;organizations_details;W
Create a new System module;Создать новый Модуль системы;Жүйенің жаңа модулін жасау;createNewSystemModule;W
The first and second characters should be KZ.;Первый и второй символы должны быть KZ.;Бірінші және екінші таңбалар KZ болуы тиіс.;paymentOrder_valid_firstCharsKZ;W
Common;Общее;Жалпы;companyPersonEdit_maintabTitle;W
First name;Имя;Аты;paymentOrder_firstName;W
Sending notifications channel;Канал отправки уведомлений;Хабарламаны жіберу арнасы;sendingNotificationsChannel;W
Country creating;Создание страны;Ел жасау;countryCreating;W
Confirm Action:;Подтвердите действие:;Әрекетті растаңыз:;common_confirmAction;W
Information from bank;Информация из Банка;Банктен алынған ақпарат;paymentOrder_bankInfo;W
Operations with the Card product type;Действия;Әрекеттер;operationsWithCardProductType;W
Arrest/block reason;Причина блокировки/ареста;Бұғаттау/тыйым салу себебі;common_arrestBlockReason;W
Add new currency;Добавить новую валюту;Жаңа валюта қосу;currency_addnewcurrency;W
View Edit Pension Template;Просмотр / Редактирование Шаблона  Пенсионного отчисления;Зейнетақы аударымының үлгісін қарау / редакциялау;paymentOrder_viewEditPensionTemplate;W
Create a bank;Создание банка;Банк жасау;bankCreating;W
Create auth factor;Создание многофакторной авторизации;Көпфакторлы қуаттауды жасау;authfactorcreate_title;W
Name;Наименование;Атауы;paymentOrder_payerName;W
Operations with the Document status;Действия;Әрекеттер;operationsWithDocStatus;W
User certificates;Сертификаты пользователя;Пайдаланушының сертификаттары;userCertificates;W
Document Type;Тип документа;Құжат түрі;createDemandType_documentType;W
Bank details - Pension, social contributionsv;Реквизиты - Пенсионные, социальные отчисления;Деректемелер - Зейнетақы, әлеуметтік аударымдар;detailsPensionSocialContributions;W
CSC with this code already exists;КБК с таким кодом уже существует;Коды осындай БСК бар ;kbkCodeAlreadyExists;W
Credit state;Состояние кредита;Кредиттің жағдайы;creditState;W
Loan currency;Валюта займа;Қарыз валютасы;loanCurrency;W
Receiver;Получатель;Алушы;invoice_receiver;W
A current calendar loading error. Please reload the page or try again later;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;Ағымдағы күнтізбені жүктеу қателігі. Бетті қайта қотарыңыз немесе кейін тағы бір рет талпынып көріңіз;currentCalendarLoadingErrorReload;W
Done;Выполнен;Орындалды;common_done;W
International post address;Международный почтовый адрес;Халықаралық пошта мекенжайы;intPostAddress;W
Create a new reason for the card block;Создать новую Причину блокировки карты;Картаны бұғаттаудың жаңа себебін жасаңыз;createCardBlockReason;W
