en;ru;uk;kk;translation_key
keyColumns=translation_key;actionType=modify
Tenge;Тенге;Теньге;Tеңгесі;currency_tenge
US Dollar;Доллар США;долар США;АҚШ доллары;currency_us_dollar
Euro;Евро;євро;Eуро;currency_euro
Russian Ruble;Российский рубль;російський рубль;Ресей рублі;currency_rub
Hryvnia;Гривня;гривня;Гривня;currency_uah
null;Главное меню;Головне меню;null;page_main_menu
null;Обзор;Огляд;null;page_review
Accounts;Счета;Рахунки;null;page_accounts
Deposits;Депозиты;Депозити;null;demand_deposits
Credits;Кредиты;Кредити;null;demand_credits
null;Корпоративные карты;Корпоративні карти;null;translation_1
null;Личный кабинет;Особистий кабінет клієнта;null;translation_2
null;Денежные операции;Фінансові операції;null;page_money_transactions
null;Платежи;Платежі;null;translation_3
null;Международные переводы;Міжнародні переводи;null;translation_4
null;Перевод между своими счетами;Платежі між власними рахунками;null;translation_5
null;Конвертация;Конвертація;null;translation_6
null;Длительные поручения;Регулярні платежі;null;translation_7
null;Прочие операции;Інші операції;null;page_other_transactions
null;Счета на оплату;Рахунки до сплати;null;translation_8
Documents for signature;Документы на подпись;Документи до підписання;Документы на подпись;page_doc_for_signature
null;Возвраты;Повернення;null;translation_9
null;Отзывы платежей;Відкликання платежів;null;translation_10
null;Просмотр;Перегляд;null;privilege_account_view
null;Открыть новый;Відкрити новий;null;privilege_account_new
null;Остаток по всем счетам;Залишок коштів за всіма рахунками;null;privilege_account_balances
null;Закрытые счета;Закриті рахунки;null;translation_11
null;Экспорт в Excel;Експорт в Excel;null;privilege_account_excel
null;История транзакций;Історія транзакцій;null;privilege_account_history
null;Выписка;Виписка;null;privilege_account_statement
null;Закрыть счет;Закрити рахунок;null;privilege_account_toClose
null;Платеж;Платіж;null;privilege_account_payment
null;Перевод;Платіж;null;privilege_account_transfer
null;Просмотр;Перегляд;null;privilege_deposits_view
null;Открыть новый;Відкрити новий;null;privilege_deposits_new
null;Показать закрытые;Відобразити закриті;null;privilege_deposits_closed
null;Остаток;Залишок ;null;privilege_deposits_balances
null;Заказать выписку;Замовити виписку;null;privilege_deposits_statement
null;Пополнить счет;Поповнити рахунок;null;privilege_deposits_credit
null;Просмотр/Редактирование;Перегляд / Редагування;null;privilege_deposits_edit
null;История транзакций;Історія транзакцій;null;privilege_deposits_history
null;Закрыть;Закрити;null;privilege_deposits_close
null;Скрыть;Приховати;null;privilege_deposits_hide
null;Платеж;Платіж;null;privilege_deposits_payment
null;Перевести;Перерахувати;null;privilege_deposits_transfer
null;Информация и предложения;Пропозиціі та додаткова інформація;null;page_information_offers
null;Курс валют;Курс валют;null;translation_12
null;Выписка;Виписка;null;translation_13
null;Почта;Пошта;null;translation_14
null;Заявления;Заяви;null;page_statements
History;История действий;Історія подій;null;translation_15
null;Справочники;Довідники;null;page_handbooks
null;Общие;Загальні;null;page_common
null;Мои;Мої;null;page_my
null;Просмотр;Перегляд;null;privilege_credits_view
null;Показать закрытые;Відобразити закриті;null;privilege_credits_closed
null;Остаток;Залишок;null;privilege_credits_balances
null;Новый кредит;Новий кредит;null;privilege_credits_new
null;История транзакций;Історія транзакцій;null;privilege_credits_history
null;Заказ выписки;Замовлення виписки;null;privilege_credits_statement
null;Досрочное погашение;Дострокове погашення;null;privilege_credits_close
null;Платеж;Платіж;null;privilege_credits_payment
null;Скрыть;Приховати;null;privilege_credits_hide
null;Просмотр;Перегляд;null;privilege_corpCards_view
null;Доступ;Доступ;null;privilege_personal
null;Просмотр;Перегляд;null;privilege_finOperations_view
null;Просмотр;Перегляд;null;privilege_payments_view
null;Просмотр;Перегляд;null;privilege_int_transfers_view
null;Просмотр;Перегляд;null;privilege_transfers_view
null;Просмотр;Перегляд;null;privilege_conversion_view
null;Просмотр;Перегляд;null;privilege_standing_orders_view
null;Просмотр;Перегляд;null;privilege_otherOperations_view
null;Просмотр;Перегляд;null;privilege_invoices_view
null;Просмотр;Перегляд;null;privilege_docsSign_view
null;Просмотр;Перегляд;null;privilege_refunds_view
null;Просмотр;Перегляд;null;privilege_reversals_view
null;Просмотр;Перегляд;null;privilege_infoAndSuggestions_view
null;Просмотр;Перегляд;null;privilege_exchangeRate_view
null;Просмотр;Перегляд;null;privilege_statement_view
null;Просмотр;Перегляд;null;privilege_message_view
null;Просмотр;Перегляд;null;privilege_demand_view
null;Просмотр;Перегляд;null;privilege_history_view
null;Просмотр;Перегляд;null;privilege_handbooks_view
null;Просмотр;Перегляд;null;privilege_commonHandbooks_view
null;Просмотр;Перегляд;null;privilege_userHandbooks_view
null;Просмотр;Перегляд;null;privilege_root_view
null;Просмотр;Перегляд;null;privilege_assets_view
null;Просмотр;Перегляд;null;privilege_tasks_view
null;Заявка на выпуск;Заявка на випуск;null;privilege_corpCards_new
null;Заявка на перевыпуск;Заявка на перевипуск;null;privilege_corpCards_reiss
null;Остаток по всем;Залишок по всім;null;privilege_corpCards_balance
null;Показать закрытые карты;Відобразити закриті карти;null;privilege_corpCards_closed
null;Детали заблокированной суммы;Деталі заблокованої суми;null;privilege_corpCards_blocked_details
null;История транзакций;Історія транзакцій;null;privilege_corpCards_history
null;Выписка;Виписка;null;privilege_corpCards_statement
null;Блокирование карты;Блокування карти;null;privilege_corpCards_block
null;Перевод/конвертация валюты;Платіж/конвертація валюти;null;privilege_corpCards_transfer
null;Пополнение карты;Поповнення карти;null;privilege_corpCards_credit
null;Создать новый;Створити новий;null;privilege_payments_add
null;Создать новый;Створити новий;null;privilege_int_transfers_add
null;Создать новый;Створити новий;null;privilege_refunds_add
null;Редактировать;Редагувати;null;privilege_int_transfers_edit
null;Создать;Створити;null;privilege_message_add
null;Отправить;Відправити;null;privilege_message_sent
null;Ответить;Відповісти;null;privilege_message_reply
Add;Создать;Створити;Создать;privilege_payment_service_add
View;Просмотр;Перегляд;Просмотр;privilege_payment_service_view
Edit;Редактировать;Редагувати;Редактировать;privilege_payment_service_edit
null;Экспорт в excel;Експорт в Excel;null;privilege_history_excel
null;Редактировать кредит;Редагувати кредит;null;privilege_credits_edit
null;Редактирование корпоративной карты;Редагування корпоративної карти;null;privilege_corpCards_edit
null;Главное меню;Головне меню;null;m_root
null;Клиентские данные;Клієнтські дані;null;m_clientdata
null;Счета;Рахунки;null;m_accounts
null;Депозиты;Депозити;null;m_deposits
null;Кредиты;Кредити;null;m_credits
null;Корпоративные карты;Корпоративні карти;null;m_corp_cards
null;Документы;Документи;null;m_documents
null;Календари;Календарі;null;m_calendars
null;Работа с ОТР токенами;Робота з OTP-токенами;null;m_otp_tokens
null;Организации;Організації;null;m_organisations
null;Уполномоченные лица;Уповноважені особи;null;m_auth_persons
null;Управление пользователями;Управління користувачами ;null;m_management
null;Пользователи;Користувачі;null;m_users
null;Менеджеры;Менеджери;null;m_managers
null;История событий;Історія подій;null;m_event_history
null;Сессии пользователей;Сесії користувачів;null;m_sessions
null;Журнал запросов;Журнал запитів;null;m_requests
null;Просмотр;Перегляд;null;m_root_view
null;Просмотр;Перегляд;null;m_clientdata_view
null;Просмотр;Перегляд;null;m_account_view
null;История;Історія;null;m_account_history
null;Просмотр;Перегляд;null;m_deposits_view
null;История;Історія;null;m_deposits_history
null;Просмотр;Перегляд;null;m_credits_view
null;История;Історія;null;m_credits_history
null;Просмотр;Перегляд;null;m_corpCards_view
null;Заблокированные суммы;Заблоковані суми;null;m_corpCards_blocked
null;История;Історія;null;m_corpCards_history
null;Просмотр;Перегляд;null;m_documents_view
null;Просмотр;Перегляд;null;m_transfers_view
null;Просмотр;Перегляд;null;m_convertion_view
null;Просмотр;Перегляд;null;m_standing_orders_view
null;Просмотр;Перегляд;null;m_cl_orders_view
null;Просмотр;Перегляд;null;m_handbooks_view
null;Письма;Листи;null;m_letters
null;Новости;Новини;null;m_news
null;Конвертация;Конвертація;null;m_convertion
null;Справочники;Довідники;null;m_handbooks
null;Банковские справочники;Банківські довідники;null;m_bank_hb
null;Системные справочники;Системні довідники;null;m_system_hb
null;Настройка доступов;Налаштування доступів;null;m_access
null;Длительные поручения;Регулярні платежі;null;m_standing_orders
null;Заявления клиентов;Заяви клієнтів;null;m_cl_orders
null;Перевод между своими счетами;Платежі між власними рахунками;null;m_transfers
null;Константы;Константи;null;m_constants
null;Конструктор заявлений;Конструктор заявок;null;m_constructor
null;Просмотр;Перегляд;null;m_bank_hb_view
null;Редактировать;Редагувати;null;m_bank_hb_edit
null;Просмотр;Перегляд;null;m_calendars_view
null;Создать;Створити;null;m_calendars_add
null;Редактировать;Редагувати;null;m_calendars_edit
null;Просмотр;Перегляд;null;m_system_hb_view
null;Редактировать;Редагувати;null;m_system_hb_edit
null;Просмотр;Перегляд;null;m_constants_view
null;Редактировать;Редагувати;null;m_constants_edit
null;Просмотр;Перегляд;null;m_access_view
null;Редактировать;Редагувати;null;m_access_edit
null;Просмотр;Перегляд;null;m_constructor_view
null;Редактировать;Редагувати;null;m_constructor_edit
null;Просмотр;Перегляд;null;m_management_view
null;Просмотр;Перегляд;null;m_users_view
null;Создать;Створити;null;m_users_add
null;Редактировать;Редагувати;null;m_users_edit
null;Смена пароля;Зміна паролю;null;m_users_password
null;Смена статуса;Зміна статусу;null;m_users_status
null;Просмотр;Перегляд;null;m_managers_view
null;Создать;Створити;null;m_managers_add
null;Редактировать;Редагувати;null;m_managers_edit
null;Смена пароля;Зміна паролю;null;m_managers_password
null;Смена статуса;Зміна статусу;null;m_managers_status
null;Просмотр;Перегляд;null;m_events_history_view
null;Просмотр;Перегляд;null;m_sessions_view
null;Деактивация;Деактивація;null;m_sessions_deactivate
null;Просмотр;Перегляд;null;m_requests_view
null;Просмотр;Перегляд;null;m_organisations_view
null;Создать;Створити;null;m_organisations_add
null;Редактировать;Редагувати;null;m_organisations_edit
null;Удаление;Видалення;null;m_organisations_delete
null;Просмотр;Перегляд;null;m_auth_persons_view
null;Создать;Створити;null;m_auth_persons_add
null;Редактировать;Редагувати;null;m_auth_persons_edit
null;Просмотр;Перегляд;null;m_otp_tokens_view
null;Импорт;Імпорт;null;m_otp_tokens_import
null;Просмотр;Перегляд;null;m_message_view
null;Создать;Створити;null;m_message_add
null;Ответить;Відповісти;null;m_message_reply
null;Просмотр;Перегляд;null;m_news_view
null;Создать;Створити;null;m_news_add
null;Редактировать;Редагувати;null;privilege_payments_edit
null;Создать;Створити;null;privilege_conversion_add
null;Редактировать;Редагувати;null;privilege_conversion_edit
null;Создать;Створити;null;m_constructor_add
null;Отправка;Відправка;null;m_message_sent
null;Онлайн чат;Онлайн-чат;null;privilege_online_chat
null;Просмотр;Перегляд;null;m_singanurerule_view
null;Правила подписи;Правила підпису;null;m_signaturerules
null;Создать;Створити;null;m_singanurerule_add
null;Редактировать;Редагувати;null;m_singanurerule_edit
null;Удаление;Видалення;null;m_singanurerule_delete
null;Создать;Створити;null;privilege_transfers_add
null;Редактировать;Редагувати;null;privilege_transfers_edit
null;Редактировать статус документов;Редагувати статус документів;null;privilege_workflow_actions
null;Выставленные мне счета;Виставлені мені рахунки;null;page_invoices
null;Выставленные мною счета;Виставлені мною рахунки;null;page_expose_orders
null;Просмотр;Перегляд;null;privilege_invoice_view
null;Оплатить;Сплатити;null;privilege_invoice_pay
null;Просмотр;Перегляд;null;privilege_exposedorders_view
null;Создать;Створити;null;privilege_exposedorders_add
null;Редактировать;Редагувати;null;privilege_exposedorders_edit
Account Currency;Валюта Счета;Валюта рахунку ;Валюта Счета;accountCurrency
Agreement text;Текст соглашения;Текст угоди;Текст соглашения;agreementText
