en;ru;uk;translation_key;output_channel
keyColumns=translation_key;actionType=modify
Accrued compensation;Начисленное вознаграждение;Начисленное вознаграждение;accrued_compensation;W
Create keys;Создать ключи;Создать ключи;vc_keysRequest;W
New document type;Добавить тип;Добавить тип;signingrules_addDocType;W
Symbol;Символ;Символ;currency_currencycode;W
Value;Значение;Значение;global_settings.constants.table.col.value;W
A calendar name;Название календаря;Название календаря;calendarName;W
Approved;Утверждён;Утверждён;approved;W
Creating a Document type;Создание Типа документа;Создание Типа документа;creatingDocType;W
Payer detail;Плательщик;Плательщик;paymentOrder_payerDetail;W
Terminal IP;IP терминала;IP терминала;requests_terminal;W
Incorrect email;Неверный email;Неверный email;common_incorrectEmail;W
Started;Старт;Старт;jobs.started;W
Password confirmation;Подтверждение пароля;Подтверждение пароля;customeruser_passwordConfirmation;W
Details;Просмотреть;Просмотреть;organizations_details;W
Create a new System module;Создать новый Модуль системы;Создать новый Модуль системы;createNewSystemModule;W
The first and second characters should be KZ.;Первый и второй символы должны быть KZ.;Первый и второй символы должны быть KZ.;paymentOrder_valid_firstCharsKZ;W
Common;Общее;Общее;companyPersonEdit_maintabTitle;W
First name;Имя;Имя;paymentOrder_firstName;W
Sending notifications channel;Канал отправки уведомлений;Канал отправки уведомлений;sendingNotificationsChannel;W
Country creating;Создание страны;Создание страны;countryCreating;W
Confirm Action:;Подтвердите действие:;Подтвердите действие:;common_confirmAction;W
Information from bank;Информация из Банка;Информация из Банка;paymentOrder_bankInfo;W
Operations with the Card product type;Действия;Действия;operationsWithCardProductType;W
Arrest/block reason;Причина блокировки/ареста;Причина блокировки/ареста;common_arrestBlockReason;W
Add new currency;Добавить новую валюту;Добавить новую валюту;currency_addnewcurrency;W
View Edit Pension Template;Просмотр / Редактирование Шаблона  Пенсионного отчисления;Просмотр / Редактирование Шаблона  Пенсионного отчисления;paymentOrder_viewEditPensionTemplate;W
Create a bank;Создание банка;Создание банка;bankCreating;W
Create auth factor;Создание многофакторной авторизации;Создание многофакторной авторизации;authfactorcreate_title;W
Name;Наименование;Наименование;paymentOrder_payerName;W
Operations with the Document status;Действия;Действия;operationsWithDocStatus;W
User certificates;Сертификаты пользователя;Сертификаты пользователя;userCertificates;W
