en;ru;uk;translation_key;output_channel
keyColumns=translation_key;actionType=modify
Accrued compensation;Начисленное вознаграждение;Нарахована винагорода;accrued_compensation;W
Create keys;Создать ключи;Створити ключі;vc_keysRequest;W
New document type;Добавить тип;Додати тип;signingrules_addDocType;W
Symbol;Символ;Символ;currency_currencycode;W
Value;Значение;Значення;global_settings.constants.table.col.value;W
A calendar name;Название календаря;Назва календарю;calendarName;W
Approved;Утверждён;Затверджений;approved;W
Creating a Document type;Создание Типа документа;Створення типу документу;creatingDocType;W
Payer detail;Плательщик;Платник;paymentOrder_payerDetail;W
Terminal IP;IP терминала;IP терміналу;requests_terminal;W
Incorrect email;Неверный email;Невірний e-mail;common_incorrectEmail;W
Started;Старт;Старт;jobs.started;W
Password confirmation;Подтверждение пароля;Підтвердження паролю;customeruser_passwordConfirmation;W
Details;Просмотреть;Переглянути;organizations_details;W
Create a new System module;Создать новый Модуль системы;Створити новий модуль системи;createNewSystemModule;W
The first and second characters should be KZ.;Первый и второй символы должны быть KZ.;Перший та другий символи мають бути KZ.;paymentOrder_valid_firstCharsKZ;W
Common;Общее;Загальні;companyPersonEdit_maintabTitle;W
First name;Имя;Ім'я;paymentOrder_firstName;W
Sending notifications channel;Канал отправки уведомлений;Канал відправки повідомлень;sendingNotificationsChannel;W
Country creating;Создание страны;Створення країни;countryCreating;W
Confirm Action:;Подтвердите действие:;Підтвердіть дії:;common_confirmAction;W
Information from bank;Информация из Банка;Інформація з Банку;paymentOrder_bankInfo;W
Operations with the Card product type;Действия;Дія;operationsWithCardProductType;W
Arrest/block reason;Причина блокировки/ареста;Причина блокування/арешту;common_arrestBlockReason;W
Add new currency;Добавить новую валюту;Додати нову валюту;currency_addnewcurrency;W
View Edit Pension Template;Просмотр / Редактирование Шаблона  Пенсионного отчисления;Перегляд/редагування Шаблону Пенсійного відрахування;paymentOrder_viewEditPensionTemplate;W
Create a bank;Создание банка;Створення банку;bankCreating;W
Create auth factor;Создание многофакторной авторизации;Створення багатофакторної авторизації;authfactorcreate_title;W
Name;Наименование;Назва;paymentOrder_payerName;W
