google_id;name_id_en;name_id_ru;name_id_kk
keyColumns=google_id;translation=name_id

ChIJq8vFFn1ugzgRdm2YrY9mRD0;Almaty;г. Алматы;г. Алматы
ChIJAcuZQHMRQ0IRJPzTC8C8qOE;Abay;Абай;Абай
ChIJOXmTbhj4TkIRl78zNZRbyz0;Akkol;Акколь;Ақкөл
ChIJI6tJkbOicEER3vvC5vNdoNg;Aksay;Аксай;Ақсай
ChIJCwvYB74u-EIRI_T2y322xfo;Aksu;Аксу;Ақсу
ChIJ13W8MhcytEERaXcKY-bhFHY;Aktau;г. Актау;г. Актау
ChIJ-YkcuEshgkERLXxMcoE_4P8;Aktobe;г. Актобе;г. Актобе
ChIJZembXkjJg0ERBmc4fm0qmf8;Alga;Алга;Алға
ChIJMQwzONJli0ERGWL9CSLu_ig;Aralsk;Аральск;Арал
ChIJVexC12MCOkIRH9YV3URTUTg;Arkalyk;Аркалык;Арқалық
ChIJOXHjjvrLykMRt0TQT7Ne9YM;Arshaly;Аршалы;Аршалы
ChIJZwLX44AsqjgRNyLbZn6NUFU;Arys;Арыс;Арыс
ChIJCUa1fcSARUIRKJKx3Y0U-Zc;Astana;г. Астана;г. Астана
ChIJibyNEjWTSUIRe88isteCiMA;Atbasar;Атбасар;Атбасар
ChIJDd2y9Sbqo0ERLY0mDlwSSj4;Atyrau;г. Атырау;г. Атырау
ChIJnWohugb1jkIR2EaINCEimSI;Ayagoz;Аягоз;Аягөз
ChIJ1Q-_SFAi9EERF-4s9kUBMmE;Baikonur;Байконур;Байқоңыр
ChIJTyGjFS-Mb0IRXDMfQyA2_dA;Balkhash;Балхаш;Балқаш
ChIJAYl_RiGUrUMRrPdzjDkg7rs;Bulaevo;Булаево;Булаев
ChIJBbholmCxkkIRU2uogHUCwnc;Charsk;Чарск;Шар
ChIJ6VVp6STSNkIRCkW1poH5Dig;Derzhavinsk;Державинск;Державинск
ChIJF2eRWZorWEIR_00_wENyxCU;Ekibastuz;Экибастуз;Екібастұз
ChIJo6yhWC1ThEER8Sp5YCOO2qk;Embi;Эмба;Ембі
ChIJAWFyKGl7UEIRKWEsOfVgDjc;Ereymentau;Ерейментау;Ерейментау
ChIJ7WEU7bA2NEIR7eCpIFZq16E;Esil;Есиль;Есіл
ChIJWRsP9lx-sUERJjBK03Trfyo;Fort-Shevchenko;Форт-Шевченко;Форт-Шевченко
ChIJJTRrVXqFg0ERRYZaKqPNWh0;Kandyagash;Кандыагаш;Қандыағаш
ChIJ2X1o5WzxgjgRyf-dGo3j3EY;Kapchagay;Капшагай;Қапшағай
ChIJWQUt0lpGQ0IRM9RE0uBrC6k;Karagandy;г. Караганда;г. Қарағанды
ChIJ2YW8eyP9pzgRWbjybIHm0xI;Karatau;Каратау;Қаратау
ChIJpdFhRFzKakIRIKcAgLO3MB0;Karazhal;Каражал;Қаражал
ChIJ8RQWcI3gXUIRmGB5jZmcHDI;Karkaraly;Каркаралинск;Қарқаралы
ChIJez6NdnZPgzgRfgX9z3il7Ow;Kaskelen;Каскелен;Қаскелең
ChIJV4aubDGf80ERWDuPrzmBrkU;Kazaly;Казалинск;Қазалы
ChIJzzIy3DjVAEIRUGSscm1-tnM;Kentau;Кентау;Кентау
ChIJo3ZSkDkEgUER5OlJj15mhPI;Khromtau;Хромтау;Хромтау
ChIJBUVa4U7P1EAR_kYBF9IxSXY;Kiev;Киев;Киев
ChIJVy5JP2CUTEIRE1RU19YiGYg;Kokshetau;г. Кокшетау;г. Көкшетау
ChIJj_fnLmaKzEMRA0tkABSs36Q;Kostanay;г. Костанай;г. Қостанай
ChIJORSMvY6mokERWLecbarKzHI;Kulsary;Кульсары;Құлсары
ChIJeddRN-D990ERS-CxjOQjI48;Kyzylorda;г. Кызылорда;г. Қызылорда
ChIJd6jRLx_FqDgR4DnDqDThFeU;Lenger;Ленгер;Ленгер
ChIJxQB8zLVCzUMRSMkTo0bJ2vo;Lisakovsk;Лисаковск;Лисаковск
ChIJZT-AIA0yTEIRukp0IzjMdPs;Makinsk;Макинск;Макинск
