national_bank_bik;country_id;bank_name;bank_code;corr_bank_account;city;address
keyColumns=national_bank_bik; references=country_id:country(two_letter_code); actionType=check
LARIKZKA;KZ; АО "AsiaCredit Bank (АзияКредит Банк)";774;;Алматы;Республика Казахстан, 050059, г. Алматы, пр. Аль-Фараби, 17/1, бизнес-центр "Нурлы Тау", блок 5б, н.п. 8
ATYNKZKA;KZ;Altyn Bank;949;;Алматы;050008, г. Алматы, пр. Абая, 109 "В"
KINCKZKA;KZ;Bank RBK;821;;Алматы;050012, г. Алматы, ул. Ади Шарипова, 84
TBKBKZKA;KZ;Capital Bank Kazakhstan;781;;Алматы;050013, г. Алматы, ул. Фурманова, 187Б
NFBAKZ23;KZ;Delta Bank;639;;Алматы;050000, г.Алматы, ул.Толеби, 73а (уг.ул.Сейфуллина)
IRTYKZKA;KZ;ForteBank;470;;Алматы;050004, г.Алматы, ул.Фурманова, 50
CASPKZKA;KZ;Kaspi Bank;722;;Алматы;050013, г. Алматы, ул. Наурызбай батыра,154а
SENIKZKA;KZ;Qazaq Banki;549;;Алматы;050059, г. Алматы, ул. Фурманова, 279
TNGRKZKX;KZ;Tengri Bank;620;;Алматы;050000, г. Алматы, пр. Абая, 42
ALMNKZKA;KZ;АТФБанк;826;;Алматы;050000, г.Алматы , ул.Фурманова,100
KSNVKZKA;KZ;Банк Kassa Nova;551;;Астана;010000, г. Астана, р-н Есиль, ул. Д. Кунаева, д.8, блок Б2
ASFBKZKA;KZ;Банк Астаны;450;;Алматы;050040, г. Алматы, мкр. Коктем-2, дом 22
KCJBKZKX;KZ;Банк ЦентрКредит;856;;Алматы;050059, г. Алматы, пр. Аль-Фараби, 38
ABNAKZKX;KZ;Банк ЭкспоКредит;922;;Алматы;050059, г. Алматы, ул. Кажымукана, 45
ALFAKZKA;KZ;ДБ "Альфа-Банк";947;;Алматы;050012, г.Алматы ул.Масанчи, 57а
BKCHKZKA;KZ;ДБ "Банк Китая в Казахстане";913;;Алматы;050063, г.Алматы, мкр-н Жетысу-2, д. 71Б
KZIBKZKA;KZ;ДБ «КЗИ Банк»;885;;Алматы;050040, г.Алматы, ул.Тимирязева, 28В
NBPAKZKA;KZ;ДБ «Национальный Банк Пакистана»;553;;Каскелен;040900, Алматинская область, Карасайский район, г. Каскелен, ул. Наурызбая, 27А
INLMKZKA;KZ;ДБ АО "Банк Хоум Кредит";886;;Алматы;050059, г. Алматы , ул. Фурманова 248
SABRKZKA;KZ;ДБ АО «Сбербанк России»;914;;Алматы;050059, г.Алматы пр. Аль-Фараби, 13/1
VTBAKZKZ;KZ;ДО АО Банк ВТБ (Казахстан);432;;Алматы;050040, г.Алматы, ул.Тимирязева, 28В
EURIKZKA;KZ;Евразийский Банк;948;;Алматы;050002, г.Алматы, ул.Кунаева, 56
HCSKKZKA;KZ;Жилстройсбербанк Казахстана;972;;Алматы;050000, г.Алматы, пр.Абылай хана, 91
ZAJSKZ22;KZ;Заман-Банк;896;;Экибастуз;141206, г. Экибастуз, ул. Машхур Жусупа, 111 «а»
HLALKZKZ;KZ;Исламский Банк "Al-Hilal";246;;Алматы;050040, г. Алматы, пр. Аль-Фараби 77/7, н.п. 13а этаж 14
KAZSKZKA;KZ;Казинвестбанк;920;;Алматы;050051, г.Алматы, пр.Достык, 172, 8 этаж
KZKOKZKX;KZ;Казкоммерцбанк;926;;Алматы;050060, г.Алматы, пр.Гагарина, 135ж
HSBKKZKX;KZ;Народный сберегательный банк Казахстана;601;;Алматы;050059, г.Алматы, пр. Аль-Фараби, 40
NURSKZKX;KZ;Нурбанк;849;;Алматы;050010, г. Алматы, пр. Абая, 10В
CITIKZKA;KZ;Ситибанк Казахстан;832;;Алматы;050010, г. Алматы, ул. Казыбек би, 41, Парк Палас Здание, 2-й этаж
ICBKKZKX;KZ;ТП Банк Китая в Алматы;930;;Алматы;050000, г.Алматы, пр.Абая 150/230, уг.ул. Тургут Озала 846, блок 7
TSESKZKA;KZ;Цеснабанк;998;;Астана;010000, г. Астана, район Есиль, ул. Сығанақ 24
SHBKKZKA;KZ;Шинхан Банк Казахстан;435;;Алматы;050020, г. Алматы, пр. Достык, 123/7
EXKAKZKA;KZ;Эксимбанк Казахстан;942;;Алматы;050010, г. Алматы, ул. Богенбай батыра, 80
CABRKZKA;KZ;ЗАО"ЦЕНТР-АЗИАТСКИЙ БАНК СОТР.И РАЗВИТИЯ";943;;;
CEDUKZKA;KZ;АО "ЦЕНТРАЛЬНЫЙ ДЕПОЗИТАРИЙ ЦЕННЫХ БУМАГ";766;;;
DVKAKZKA;KZ;АО "Банк Развития Казахстана";907;;;
EABRKZKA;KZ;ЕВРАЗИЙСКИЙ БАНК РАЗВИТИЯ;700;;;
GCVPKZ2A;KZ;НАО "Гос.корпорация "Правительство для граждан";009;;;
INEARUMM;KZ;г.Москва Межгосударственный Банк;550;;;
KICEKZKX;KZ;АО "Казахстанская фондовая биржа";927;;;
KISCKZKX;KZ;РГП "Казахстанский центр межбанковских расчетов НБРК;224;;;
KKMFKZ2A;KZ;РГУ "Комитет казначейства Министерства финансов РК";070;;;
KPSTKZKA;KZ;АО "КАЗПОЧТА";563;;;
NBPFKZKX;KZ;Банк-кастодиан АО  "ЕНПФ";147;;;
NBRKKZKX;KZ;Республиканское Государств Учреждение  Национальный Банк РК;125;;;
NCCBRUMM;KZ;Банк "Национальный Клиринговый Центр" (АО) г. Москва;660;;;
