is_deleted;name;field_type;is_need_for_sign
keyColumns=name, field_type

0;domesticTransferType;DomesticTransfer;1
0;vat;DomesticTransfer;1
0;budgetClassificationCode;DomesticTransfer;1
0;employeeTransferCategory;DomesticTransfer;1
0;employeeTransferPeriod;DomesticTransfer;1
0;vinCode;DomesticTransfer;1
0;payment.amount;DomesticTransfer;1
0;payment.purposeCode;DomesticTransfer;1
0;payment.purpose;DomesticTransfer;1
0;payment.account.number;DomesticTransfer;1
0;payment.beneficiary.taxCode;DomesticTransfer;1
0;payment.beneficiary.name;DomesticTransfer;1
0;payment.beneficiary.residencyAndEconomicCode;DomesticTransfer;1
0;payment.beneficiary.account;DomesticTransfer;1
0;payment.beneficiary.bankCode;DomesticTransfer;1
0;payment.document.created;DomesticTransfer;1
0;payment.document.number;DomesticTransfer;1
0;payment.document.customer.organization.name;DomesticTransfer;1
0;payment.document.customer.organization.taxCode;DomesticTransfer;1
0;payment.document.customer.organization.residencyAndEconomicCode;DomesticTransfer;1

0;individualExchangeRate;AccountTransfer;1
0;exchangeRate;AccountTransfer;1
0;creditSum;AccountTransfer;1
0;creditAccount.number;AccountTransfer;1
0;creditAccount.currency;AccountTransfer;1
0;feeAccount.number;AccountTransfer;1
0;payment.amount;AccountTransfer;1
0;payment.valueDate;AccountTransfer;1
0;payment.purposeCode;AccountTransfer;1
0;payment.purpose;AccountTransfer;1
0;payment.account.currency;AccountTransfer;1
0;payment.account.number;AccountTransfer;1
0;payment.document.number;AccountTransfer;1
0;payment.document.created;AccountTransfer;1
0;payment.document.info;AccountTransfer;1
0;payment.document.customer.organization.name;AccountTransfer;1
0;payment.document.customer.organization.taxCode;AccountTransfer;1
0;payment.document.customer.organization.residencyAndEconomicCode;AccountTransfer;1
0;payment.document.director.userAccount.shortName;AccountTransfer;1
0;payment.document.accountant.userAccount.shortName;AccountTransfer;1

0;currencyOperationType;InternationalTransfer;1
0;contractNumber;InternationalTransfer;1
0;contractDate;InternationalTransfer;1
0;contractAuditNumber;InternationalTransfer;1
0;contractAuditDate;InternationalTransfer;1
0;invoice;InternationalTransfer;1
0;invoiceDate;InternationalTransfer;1
0;feeTypeCode;InternationalTransfer;1
0;additionalInfo;InternationalTransfer;1
0;internBeneficiary.beneficiaryCountryCode;InternationalTransfer;1
0;internBeneficiary.beneficiaryCity;InternationalTransfer;1
0;internBeneficiary.beneficiaryAddress;InternationalTransfer;1
0;internBeneficiary.beneficiaryKpp;InternationalTransfer;1
0;internBeneficiary.beneficiaryBankCorrAccount;InternationalTransfer;1
0;internBeneficiary.beneficiaryBankCountry;InternationalTransfer;1
0;internBeneficiary.beneficiaryBankCity;InternationalTransfer;1
0;internBeneficiary.beneficiaryBankAddress;InternationalTransfer;1
