external_id;document_state;document_type;is_first
keyColumns=external_id

1;Draft;DomesticTransfer;1
2;Draft;null;0
3;AwaitsSignature;null;0
4;Signed;null;0
5;Deleted;null;0
6;SentToRBS;null;0
7;AcceptedInRBS;null;0
8;AcceptedInABS;null;0
9;NotAcceptedInABS;null;0
10;Executed;null;0
11;Revoked;null;0
12;Draft;DocumentWithdraw;1
13;Draft;null;0
14;AwaitsSignature;null;0
15;Signed;null;0
16;Deleted;null;0
17;SentToRBS;null;0
18;AcceptedInRBS;null;0
19;AcceptedInABS;null;0
20;Executed;null;0
21;NotAcceptedInABS;null;0
22;Draft;AccountTransfer;1
23;Draft;InternationalTransfer;1
24;Draft;ExposedOrder;1
25;Draft;null;0
26;AwaitsSignature;null;0
27;Signed;null;0
28;Deleted;null;0
29;SentToRBS;null;0
30;AcceptedInRBS;null;0
31;Revoked;null;0
32;Refused;null;0
33;Paid;null;0
standingorder_init;Draft;StandingOrder;1
standingorder_draft;Draft;null;0
standingorder_awaitsSignature;AwaitsSignature;null;0
standingorder_signed;Signed;null;0
standingorder_sentToRBS;SentToRBS;null;0
standingorder_acceptedInRBS;AcceptedInRBS;null;0
standingorder_suspended;Suspended;null;0
standingorder_deleted;Deleted;null;0
standingorder_executed;Executed;null;0
standingorder_notAcceptedInABS;NotAcceptedInABS;null;0
52;Draft;Demand;1
42;Draft;null;0
43;AwaitsSignature;null;0
44;Signed;null;0
45;Deleted;null;0
46;SentToRBS;null;0
47;AcceptedInRBS;null;0
48;NotAcceptedInABS;null;0
49;Executed;null;0
50;Executed;null;0
53;AcceptedInRBS;null;0
54;Draft;Invoice;1
55;Accepted;null;0
56;Pay;null;0
57;Refused;null;0
58;AcceptedInRBS;null;0
59;Standing;null;0
