workflow_state_id;code;next_workflow_state_id;is_visible;customer_event;button_priority
references=next_workflow_state_id:workflow_state(external_id), workflow_state_id:workflow_state(external_id)
1;init;2;0;none;1
2;remove;5;1;deleteDocument;3
2;submit;3;1;toSignDocument;2
1;scheduler;6;0;none;2
22;scheduler;6;0;none;2
23;scheduler;6;0;none;2
2;history;null;1;none;10
2;creteCopy;null;1;none;11
2;print;null;1;none;12
3;sign;4;1;signingDocument;1
3;remove;5;1;deleteDocument;2
3;toDraft;2;1;toDraftDocument;3
3;view;null;1;none;4
3;history;null;1;none;10
3;creteCopy;null;1;none;11
3;print;null;1;none;12
4;remove;5;1;deleteDocument;1
4;sentToRBS;6;1;sentToRBS;2
4;view;null;1;none;3
4;history;null;1;none;10
4;creteCopy;null;1;none;11
4;print;null;1;none;12
6;revoke;11;1;none;1
6;ok;7;0;none;2
6;bad;9;0;none;3
6;view;null;1;none;4
6;history;null;1;none;10
6;creteCopy;null;1;none;11
6;print;null;1;none;12
7;revoke;11;1;withdrawDocument;1
7;sendToABS;8;0;withdrawDocument;2
7;bad;9;0;withdrawDocument;3
7;view;null;1;none;3
7;history;null;1;none;10
7;creteCopy;null;1;none;11
7;print;null;1;none;12
8;revoke;11;1;withdrawDocument;1
8;Executed;10;0;none;2
8;NotAcceptedInABS;9;0;none;3
8;view;null;1;none;4
8;history;null;1;none;10
8;creteCopy;null;1;none;11
8;print;null;1;none;12
12;init;13;0;none;1
13;remove;16;1;deleteDocument;1
13;submit;14;1;toSignDocument;2
13;history;null;1;none;10
13;creteCopy;null;1;none;11
13;print;null;1;none;12
14;sign;15;1;signingDocument;1
14;remove;16;1;deleteDocument;2
14;toDraft;13;1;toDraftDocument;3
14;view;null;1;none;4
14;history;null;1;none;10
14;creteCopy;null;1;none;11
14;print;null;1;none;12
15;remove;16;1;deleteDocument;1
15;toDraft;13;1;none;2
15;sentToRBS;17;1;toDraftDocument;3
15;view;null;1;none;4
15;history;null;1;none;10
15;creteCopy;null;1;none;11
15;print;null;1;none;12
17;ok;18;0;none;1
17;bad;21;0;none;2
18;ok;20;0;none;1
18;bad;19;0;none;2
19;ok;20;0;none;1
19;bad;21;0;none;2
22;init;2;0;none;1
23;init;2;0;none;1
24;init;25;0;none;1
25;remove;28;1;deleteDocument;1
25;submit;26;1;toSignDocument;2
25;history;null;1;none;10
25;creteCopy;null;1;none;11
25;print;null;1;none;12
26;sign;27;1;none;1
26;remove;28;1;deleteDocument;2
26;toDraft;25;1;toDraftDocument;3
26;view;null;1;none;4
26;history;null;1;none;10
26;creteCopy;null;1;none;11
26;print;null;1;none;12
27;toDraft;25;1;toDraftDocument;1
27;remove;28;1;deleteDocument;2
27;sentToRBS;29;1;sentToRBS;3
27;view;null;1;none;4
27;history;null;1;none;10
27;creteCopy;null;1;none;11
27;print;null;1;none;12
29;revoke;31;1;withdrawDocument;1
29;ok;30;0;none;2
29;view;null;1;none;3
29;history;null;1;none;10
29;creteCopy;null;1;none;11
29;print;null;1;none;12
29;bad;32;0;none;3
29;back;25;0;none;4
30;revoke;31;1;withdrawDocument;1
30;ok;33;0;none;2
30;bad;32;0;none;3
30;view;null;1;none;4
30;history;null;1;none;10
30;creteCopy;null;1;none;11
30;print;null;1;none;12
2;edit;null;1;editPayment;3
standingorder_init;init;standingorder_draft;0;none;1
standingorder_draft;remove;standingorder_deleted;1;deleteDocument;1
standingorder_draft;submit;standingorder_awaitsSignature;1;toSignDocument;2
standingorder_draft;edit;null;1;editRequest;3
standingorder_draft;history;null;1;none;10
standingorder_draft;creteCopy;null;1;none;11
standingorder_draft;print;null;1;none;12
standingorder_awaitsSignature;sign;standingorder_signed;1;none;1
standingorder_awaitsSignature;toDraft;standingorder_draft;1;toDraftDocument;2
standingorder_awaitsSignature;remove;standingorder_deleted;1;deleteDocument;3
standingorder_awaitsSignature;view;null;1;none;4
standingorder_awaitsSignature;history;null;1;none;10
standingorder_awaitsSignature;creteCopy;null;1;none;11
standingorder_awaitsSignature;print;null;1;none;12
standingorder_signed;toDraft;standingorder_draft;1;toDraftDocument;1
standingorder_signed;remove;standingorder_deleted;1;deleteDocument;2
standingorder_signed;receivedInABS;standingorder_sentToRBS;1;none;3
standingorder_signed;view;null;1;none;4
standingorder_signed;history;null;1;none;10
standingorder_signed;creteCopy;null;1;none;11
standingorder_signed;print;null;1;none;12
standingorder_sentToRBS;toDraft;standingorder_draft;1;toDraftDocument;1
standingorder_sentToRBS;remove;standingorder_deleted;1;deleteDocument;2
standingorder_sentToRBS;ok;standingorder_acceptedInRBS;0;none;3
standingorder_sentToRBS;bad;standingorder_notAcceptedInABS;0;none;4
standingorder_sentToRBS;view;null;1;none;5
standingorder_sentToRBS;history;null;1;none;10
standingorder_sentToRBS;creteCopy;null;1;none;11
standingorder_sentToRBS;print;null;1;none;12
standingorder_acceptedInRBS;toDraft;standingorder_draft;1;toDraftDocument;1
standingorder_acceptedInRBS;remove;standingorder_deleted;1;deleteDocument;2
standingorder_acceptedInRBS;ok;standingorder_executed;0;none;3
standingorder_acceptedInRBS;bad;standingorder_notAcceptedInABS;0;none;4
standingorder_acceptedInRBS;view;null;1;none;5
standingorder_acceptedInRBS;history;null;1;none;10
standingorder_acceptedInRBS;creteCopy;null;1;none;11
standingorder_acceptedInRBS;print;null;1;none;12
standingorder_signed;deactivate;standingorder_suspended;1;none;6
standingorder_suspended;activate;standingorder_signed;1;none;1
standingorder_suspended;view;null;1;none;5
standingorder_suspended;history;null;1;none;10
standingorder_suspended;creteCopy;null;1;none;11
standingorder_suspended;print;null;1;none;12
53;ok;standingorder_executed;0;none;1
53;bad;standingorder_notAcceptedInABS;0;none;1
52;init;42;1;none;1
42;remove;45;1;deleteDocument;1
42;submit;43;1;toSignDocument;2
42;edit;null;1;editRequest;3
42;history;null;1;none;10
42;creteCopy;null;1;none;11
42;print;null;1;none;12
43;toDraft;42;1;toDraftDocument;1
43;remove;45;1;deleteDocument;2
43;sign;44;1;none;3
43;view;null;1;none;4
43;history;null;1;none;10
43;creteCopy;null;1;none;11
43;print;null;1;none;12
44;toDraft;42;1;toDraftDocument;1
44;remove;45;1;deleteDocument;2
44;receivedInABS;46;1;none;3
44;view;null;1;none;4
44;history;null;1;none;10
44;creteCopy;null;1;none;11
44;print;null;1;none;12
46;ok;47;0;none;1
46;bad;48;0;none;2
47;ok;49;0;none;1
47;bad;48;0;none;2
47;xml;50;0;none;3
4;toDraft;2;1;toDraftDocument;3
25;edit;null;1;editPayment;3
54;init;55;0;none;1
55;pay;56;1;none;1
55;reject;57;1;rejectedDocument;2
55;view;null;1;none;3
55;history;null;1;none;10
55;creteCopy;null;1;none;11
55;print;null;1;none;12
58;receivedInABS;8;0;none;1
58;back;7;0;none;2
58;revoke;11;0;withdrawDocument;3
13;edit;null;1;editPayment;3
8;backToRBS;7;0;none;1
2;standing;59;0;none;9
59;remove;5;0;deleteDocument;4
