card_id;is_locked;operation_time;lock_reason;unlock_reason
references=card_id:card(external_id); keyColumns=card_id, is_locked, operation_time
1;1;2016-10-11 11:15:01;Карта потеряна;
1;0;2016-10-12 11:15:01;;Карта найдена
1;1;2016-11-12 11:15:01;Карта украдена;
1;0;2016-11-14 11:15:01;;Карта найдена
2;1;2016-10-11 11:15:01;Карта потеряна;
2;0;2016-10-12 11:15:01;;Карта найдена
2;1;2016-11-12 11:15:01;Карта украдена;
2;0;2016-10-14 11:15:01;;Карта найдена
3;1;2016-10-11 11:15:01;Карта потеряна;
3;0;2016-10-12 11:15:01;;Карта найдена
3;1;2016-11-12 11:15:01;Карта украдена;
4;1;2016-10-11 11:15:01;Карта потеряна;
4;0;2016-10-12 11:15:01;;Карта найдена
4;1;2016-11-12 11:15:01;Карта украдена;
4;0;2016-11-14 11:15:01;;Карта найдена
5;1;2016-10-11 11:15:01;Карта потеряна;
5;0;2016-10-12 11:15:01;;Карта найдена
5;1;2016-11-12 11:15:01;Карта украдена;
5;0;2016-11-14 11:15:01;;Карта найдена
6;1;2016-10-11 11:15:01;Карта потеряна;
6;0;2016-10-12 11:15:01;;Карта найдена
6;1;2016-11-12 11:15:01;Карта украдена;
6;0;2016-11-14 11:15:01;;Карта найдена
7;1;2016-10-11 11:15:01;Карта потеряна;
7;0;2016-10-12 11:15:01;;Карта найдена
7;1;2016-11-12 11:15:01;Карта украдена;
7;0;2016-11-14 11:15:01;;Карта найдена
