channel_code;channel_sub_code;company_person_id;recipient_id;message_text;generate_time;status;error_message;sent_time;notification_level;subject_type
references=company_person_id:company_person(external_id)
internal;null;2;null;Поступление на счет KZ2545678979797;2017-04-18 12:51:12;WAITING;null;null;info;Account
internal;null;2;null;Срок действия ключа ЭЦП истек;2017-04-18 09:51:12;WAITING;null;null;error;UserAccount
internal;null;2;null;Остаток на счете ниже 50 000;2017-04-17 12:51:12;WAITING;null;null;warning;Account
internal;null;2;null;Поступление на счет KZ45648484648644;2017-04-16 12:51:12;WAITING;null;null;info;Account
internal;null;2;null;Списание со счета 2565464654654;2017-04-15 12:51:12;WAITING;null;null;info;Account
internal;null;2;null;Остаток на счете выше 1 млн. USD;2017-04-14 12:51:12;WAITING;null;null;success;Account
internal;null;2;null;Срок действия пароля на вход истекает;2017-04-13 12:51:12;WAITING;null;null;protect;UserAccount
internal;null;2;null;Остаток на счете ниже 50 000 USD;2017-04-13 10:51:12;WAITING;null;null;warning;Account
internal;null;2;null;Срок действия ключа ЭЦП истекает;2017-04-19 08:24:12;WAITING;null;null;protect;UserAccount
internal;null;2;null;Новое сообщение в ленте новостей банка;2017-04-18 12:51:12;WAITING;null;null;info;News
internal;null;2;null;Срок действия пароля истек;2017-04-19 13:11:12;WAITING;null;null;error;UserAccount
internal;null;2;null;Смена статуса документа 64654/45-55;2017-04-10 12:51:12;WAITING;null;null;info;Document
internal;null;2;null;Смена статуса документа номер 2323-2;2017-04-12 12:51:12;WAITING;null;null;info;Document
sms;null;2;+1234567891234;New sms message;2017-04-18 12:51:12;WAITING;null;null;protect;null
internal;null;23;null;Поступление на счет KZ2545678979797;2017-04-18 12:51:12;WAITING;null;null;info;Account
internal;null;23;null;Срок действия ключа ЭЦП истек;2017-04-18 09:51:12;WAITING;null;null;error;UserAccount
internal;null;23;null;Остаток на счете ниже 50 000;2017-04-17 12:51:12;WAITING;null;null;warning;Account
internal;null;23;null;Поступление на счет KZ45648484648644;2017-04-16 12:51:12;WAITING;null;null;info;Account
internal;null;23;null;Списание со счета 2565464654654;2017-04-15 12:51:12;WAITING;null;null;info;Account
internal;null;23;null;Остаток на счете выше 1 млн. USD;2017-04-14 12:51:12;WAITING;null;null;success;Account
internal;null;23;null;Срок действия пароля на вход истекает;2017-04-13 12:51:12;WAITING;null;null;protect;UserAccount
internal;null;23;null;Остаток на счете ниже 50 000 USD;2017-04-13 10:51:12;WAITING;null;null;warning;Account
internal;null;62;null;Остаток на счете ниже 50 000 USD;2017-05-20 10:10:11;WAITING;null;null;info;Account
internal;null;62;null;Поступление на счет KZ75125USD2069101105;2017-05-21 11:05:10;WAITING;null;null;info;Account
