person_id;role_id
references=person_id:company_person(external_id), role_id:cperson_role(code)

1;dir
1;acc
2;dir
3;dir
5;dir
6;dir
7;dir
8;dir
9;dir
10;dir
11;dir
12;dir
13;dir
14;dir
15;dir
16;dir
17;dir
18;acc
19;gacc
20;dir
23;acc
24;gacc
24;acc
25;dir
26;dir
27;dir
28;dir
29;dir
30;dir
31;dir
32;dir
18;dir
19;dir
33;dir
34;dir
35;dir
36;dir
37;dir
38;dir
39;dir
2;acc
40;dir
41;dir
42;dir
43;dir
44;dir
45;dir
46;dir
47;dir
48;dir
49;dir
49;acc
50;acc
51;gacc
52;acc
52;dir
53;dir
53;acc
21;dir
22;dir
54;dir
55;dir
56;dir
57;dir
58;dir
59;dir
60;dir
61;dir
56;acc
59;acc
23;dir
24;dir
62;pers
63;dir
64;dir
65;dir
66;dir
67;dir
68;dir
69;dir
69;gacc
70;dir
71;dir
72;dir
73;dir
74;dir
75;dir
76;dir
77;dir
78;dir
79;dir
80;dir
35;acc
82;pers
