is_deleted;custom_request_type_id;name;field_type;field_size;options_id;source;source_code;fields_reference;is_prefill;is_editable;is_required;auto_filling;validation_rules;full_name_id
references=custom_request_type_id:custom_request_type(document_type), full_name_id:translation(translation_key)

0;Открытие Счета;Название Организации;AutoFilling;0;null;null;null;null;0;0;0;OrgName;NONE;withdraw_org_name
0;Открытие Счета;ИНН Организации;AutoFilling;0;null;null;null;null;0;0;0;TaxCode;NONE;common_orgTaxCode
0;Открытие Счета;Согласие с условием открытия счета;Checkbox;0;null;null;null;null;0;0;1;null;NONE;agreementOpeningAccounts
0;Открытие Счета;Валюта Счета;Select;0;null;Reference;currency;наименование;0;0;1;null;NONE;accountCurrency
0;Открытие Счета;Текст соглашения;Description;0;2313;null;null;null;0;0;0;null;NONE;agreementText
0;Открытие Счета;Назначение счета;Text;1000;null;null;null;null;0;0;1;null;NONE;accountPurpose
0;Закрытие Счета;Название Организации;AutoFilling;0;null;null;null;null;0;0;0;OrgName;NONE;withdraw_org_name
0;Закрытие Счета;ИНН Организации;AutoFilling;0;null;null;null;null;0;0;0;TaxCode;NONE;paymentOrder_vat12
0;Закрытие Счета;Счет;Select;0;null;Reference;Accounts;наименование;0;0;1;null;NONE;custom_field_account
0;Закрытие Счета;Условие Закрытия;Description;0;2316;null;null;null;0;0;0;null;NONE;custom_field_close_condition
0;Закрытие Счета;Номера неиспользованных листов в чековой;MultiLine;255;null;null;null;null;0;0;0;null;NONE;custom_field_unused_sheet
0;Закрытие Счета;Причина закрытия счета;Text;1000;null;null;null;null;0;0;0;null;NONE;custom_field_acc_closure_reason
0;Открытие депозита;Название Организации;AutoFilling;0;null;null;null;null;0;0;0;OrgName;NONE;withdraw_org_name
0;Открытие депозита;ИНН Организации;AutoFilling;0;null;null;null;null;0;0;0;TaxCode;NONE;common_orgTaxCode
0;Открытие депозита;Вид вклада;Select;0;null;Reference;kind deposit product;наименование;0;0;1;null;NONE;custom_field_deposit_type
0;Открытие депозита;Валюта вклада;Select;0;null;Reference;currency;наименование;0;0;1;null;NONE;custom_field_deposit_currency
0;Открытие депозита;Срок вклада;Select;0;null;Reference;term of deposit/loan;наименование;0;0;1;null;NONE;custom_field_loan_term
