code;external_id;service_id;field_type;input_mask;validation_regex;dictionary_name;min_value;max_value;field_order;is_required;name_id_ru;name_id_kk;name_id_en;hint_id_ru;hint_id_kk;hint_id_en
references=service_id:provider_service(code); keyColumns=service_id,code; translation=name_id,hint_id; actionType=modify
Beeline(КарТел);228;ps_1;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;Номер телефона;Phone number;Введите номер телефона;Введите номер телефона;Enter phone number
Account;1;ps_30;STRING;;.{10,20};null;null;null;1;1;Номер лицевого счета;Номер лицевого счета;Account number;Введите номер лицевого счета;Введите номер лицевого счета;Enter account number
Address;2;ps_30;STRING;;.{2,200};null;null;null;4;0;Адрес;Адрес;Address;Введите адрес;Введите адрес;Enter address
FIO;5;ps_30;STRING;;.{2,200};null;null;null;5;0;ФИО;ФИО;Name;Введите ФИО;Введите ФИО;Enter your name
Kcell;504;ps_2;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
Aсtiv;503;ps_3;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
TELE2;462;ps_4;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
Алтел;682;ps_5;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
"АО ""Казахтелеком""";769;ps_6;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
ТОО «2DAY Телеком» («Интернет Дома» от Beeline);461;ps_7;STRING;;\d{10};null;null;10;1;1;Введите идентификатора;;;;;
ТОО «ТОПАЗ-ТЕЛЕКОМ»;538;ps_8;STRING;;\d{6};null;null;6;1;1;Введите номер карты;;;;;
Twinncom Network;540;ps_9;STRING;\d{5};;null;null;5;1;1;Введите номер;;;;;
ОКТЕЛ;708;ps_10;STRING;99-99-99;\d{6};null;null;6;1;1;Введите номер телефона;;;;;
СА-Телком фиксированная связь;463;ps_11;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
Балхаш Электронный Город. Интернет;514;ps_12;STRING;;\d{10};null;null;10;1;1;Введите номер счета;;;;;
ТОО «Metro Net»;537;ps_13;STRING;;\d{14};null;null;14;1;1;Введите номер карты или номер телефона;;;;;
ТОО «Promtel»;551;ps_14;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
ТОО «System Line»;541;ps_15;STRING;;\d{9};null;null;9;1;1;Введите номер карты;;;;;
ТОО BeNetCom;779;ps_16;STRING;;\d{7};null;null;7;1;1;Введите номер;;;;;
Skype;748;ps_17;STRING;;\d{30};null;null;30;1;1;Skype Name;;;;;
Altel JET (Retail);776;ps_18;STRING;999-999-99-99;\d{10};null;null;10;1;1;Введите номер телефона;;;;;
АО «Транстелеком»;531;ps_20;STRING;;\d{20};null;null;20;1;1;Введите номер договора или счета;;;;;
АО «Транстелеком» (Direct);531;ps_21;STRING;;\d{20};null;null;20;1;1;Введите номер договора или счета;;;;;
ТОО «АлмаТВ»;553;ps_22;STRING;;\d{9};null;null;9;1;1;Введите лицевой счет;;;;;
ТОО «Телекомпания «43 канал»;533;ps_23;STRING;;\d{11};null;null;11;1;1;Введите номер карточки абонента;;;;;
"АО ""Казтелерадио полный пакет"" (OTAU TV)";687;ps_24;STRING;;\d{6};null;null;6;1;1;Введите номер счета;;;;;
"ТОО ""Кабельные сети Костаная""";535;ps_25;STRING;;\d{10};null;null;10;1;1;Введите номер договора;;;;;
ТАУ TV*;654;ps_26;STRING;;\d{7};null;null;7;1;1;Введите номер заказа;;;;;
Базис-Телеком г.Алматы;805;ps_27;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
Триколор ТВ;656;ps_28;STRING;;\d{12};null;null;12;1;1;Введите номер заказа;;;;;
НТВ-Плюс;657;ps_29;STRING;;\d{10};null;null;10;1;1;Введите номер заказа;;;;;
АЛСЕКО*;8;ps_30;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
ИВЦ*;113;ps_31;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
ЭПК forfait;651;ps_32;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Жесказган ЭнергоСбыт;232;ps_33;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
АлматыЭнергосбыт (физ. лица)*;229;ps_34;STRING;;\d{9};null;null;9;1;1;Введите лицевой счет;;;;;
Батыс Су Арнасы;763;ps_35;STRING;;\d{12};null;null;12;1;1;Введите лицевой счет;;;;;
Омега XXI Шымкент [Энергопоток, КазТрансГазАймак];782;ps_36;STRING;;\d{10};null;null;10;1;1;Введите номер квитанции;;;;;
[Омега XXI] Область;782;ps_37;STRING;;\d{10};null;null;10;1;1;Введите номер квитанции;;;;;
ТОО Караганды ГорКомТранс;604;ps_38;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
Мюль Сервис;588;ps_39;STRING;;\d{6};null;null;6;1;1;Введите номер счёта;;;;;
Народный домофон;618;ps_40;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Жолаушы-СК;601;ps_41;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Кокшеэнергосервис*;607;ps_42;STRING;\d{5};;null;null;5;1;1;Введите лицевой счет;;;;;
ЦентрКоммунПлат-АРС;650;ps_43;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Предприятие Спецавто-транспорта;623;ps_44;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
ЕРЦ Капчагай;762;ps_45;STRING;;\d{9};null;null;9;1;1;Введите лицевой счет;;;;;
РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак];794;ps_46;STRING;;\d{14};null;null;14;1;1;Введите идентификатор абонента;;;;;
ТОО «Костанайский ЭнергоЦентр»*;608;ps_47;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
АРЭК-Энергосбыт.Интернациональное*;591;ps_48;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
АРЭК-Энергосбыт.Кощи*;592;ps_49;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
Астана Газ Сервис*;593;ps_50;STRING;;\d{10};null;null;10;1;1;Введите номер договора;;;;;
БалхашЭнерго.Электроэнергия*;594;ps_51;STRING;;\d{7};null;null;7;1;1;Введите номер договора;;;;;
Бурабай Су Арнасы*;598;ps_52;STRING;\d{5};;null;null;5;1;1;Введите лицевой счет;;;;;
Павлодарлифт*;621;ps_54;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
