id_1;is_deleted;exchange_rate_type_id;base_currency;currency;valid_from;valid_to;rate_purchase;rate_sale;scale
references=exchange_rate_type_id:exchange_rate_type(type_code)
1;0;CASH;USD;EUR;2017-03-01 08:00:00;2018-04-01 21:00:00;1.0500;1.0900;2
2;0;CASH;RUB;EUR;2017-03-01 08:00:00;2018-04-01 21:00:00;59.0000;66.0000;2
3;0;CASH;KZT;EUR;2017-03-01 08:00:00;2018-04-01 21:00:00;350.00;357.0000;2
4;0;CASH;KZT;RUB;2017-03-01 08:00:00;2018-04-01 21:00:00;5.30;5.70;2
5;0;CASH;KZT;USD;2017-03-01 08:00:00;2018-04-01 21:00:00;313.00;319.00;1
6;0;CASH;KZT;GBP;2017-03-01 08:00:00;2018-04-01 21:00:00;399.0000;408.0000;1
7;0;CASHLESS;USD;KZT;2017-03-01 08:00:00;2018-04-01 21:00:00;310.0000;313.0000;1
8;0;CASHLESS;EUR;KZT;2017-03-01 08:00:00;2018-04-01 21:00:00;345.0000;352.0000;1
9;0;CASHLESS;RUB;KZT;2017-03-01 08:00:00;2018-04-01 21:00:00;5.4000;5.5700;1
10;0;CROSS;EUR;USD;2017-03-01 08:00:00;2018-04-01 21:00:00;1.1000;1.1400;1
11;0;CROSS;EUR;RUB;2017-03-01 08:00:00;2018-04-01 21:00:00;59.0000;66.0000;1
12;0;CROSS;USD;RUB;2017-03-01 08:00:00;2018-04-01 21:00:00;53.0000;59.0000;1
13;0;NATIONAL;KZT;EUR;2017-03-01 08:00:00;2018-04-01 21:00:00;352.78;352.78;2
14;0;NATIONAL;KZT;RUB;2017-03-01 08:00:00;2018-04-01 21:00:00;5.51;5.51;2
15;0;NATIONAL;KZT;USD;2017-03-01 08:00:00;2018-04-01 21:00:00;314.11;314.11;1
16;0;NATIONAL;KZT;GBP;2017-03-01 08:00:00;2018-04-01 21:00:00;399.0000;408.0000;1
