id_1;is_deleted;property_name_id;is_multi_language;property_value;property_group_id;hand_book_type;property_type;code;allowed_type;validation_constraint;multi_language_value_id;visibility_area
references=property_group_id:property_group(name), property_name_id:translation(translation_key), multi_language_value_id:translation(translation_key); keyColumns=code; actionType=check

1;0;VAT_CODE;0;12;Финансовые;;VALUE;VAT_CODE;VALUE,VALUES;^[0-9]{1,2}([\n|,][0-9]{1,2})*$;null;CUSTOMER
2;0;CURRENCY_CODE;0;KZT;Финансовые;CURRENCY;HANDBOOK_VALUE;CURRENCY_CODE;VALUE,VALUES,HANDBOOK_VALUE,HANDBOOK_MULTI_VALUE,LOGICAL_VALUE;^[^\n\t ]{1,1000}([\n|,][^\n\t ]{1,1000})*$;null;CUSTOMER
3;0;LOOK_AHEAD_RESYNCHRONIZATION_WINDOW;0;3;ОТП токен;;VALUE;LOOK_AHEAD_RESYNCHRONIZATION_WINDOW;VALUE;^[0-9]*$;null;MANAGER
4;0;OTP_TOKEN_LENGTH;0;6;ОТП токен;;VALUE;OTP_TOKEN_LENGTH;VALUE;^[6-8]$;null;ANONYMOUS
5;0;INCORRECT_ATTEMPTS;0;3;ОТП токен;;VALUE;INCORRECT_ATTEMPTS;VALUE;^[0-9]*$;null;ANONYMOUS
6;0;FULL_BANK_NAME;1;null;Реквизиты системного банка;;VALUE;FULL_BANK_NAME;VALUE;^.{1,255}$;translation_24;ANONYMOUS
7;0;SHORT_BANK_NAME;1;null;Реквизиты системного банка;;VALUE;SHORT_BANK_NAME;VALUE;^.{1,255}$;translation_25;ANONYMOUS
8;0;property_BIK;0;ABNAKZKX;Реквизиты системного банка;;VALUE;BIK;VALUE;^.{1,1000}$;null;ANONYMOUS
9;0;property_BIN;0;940140000513;Реквизиты системного банка;;VALUE;BIN;VALUE;^[0-9]*$;null;ANONYMOUS
10;0;property_KBE;0;14;Реквизиты системного банка;;VALUE;KBE;VALUE;^[0-9]*$;null;ANONYMOUS
11;0;property_OKPO_CODE;0;30129547;Реквизиты системного банка;;VALUE;OKPO_CODE;VALUE;^[0-9]*$;null;ANONYMOUS
12;0;property_BANK_ADDRESS;0;Республика Казахстан, 050059, г. Алматы, ул. Кажымукана, 45;Реквизиты системного банка;;VALUE;BANK_ADDRESS;VALUE;^.{1,1000}$;null;ANONYMOUS
13;0;property_MIN_LOGIN_LENGTH;0;1;Логин;;VALUE;MIN_LOGIN_LENGTH;VALUE;^[0-9]*$;null;ANONYMOUS
14;0;property_MAX_LOGIN_LENGTH;0;100;Логин;;VALUE;MAX_LOGIN_LENGTH;VALUE;^[0-9]*$;null;ANONYMOUS
15;0;property_MIN_PWD_LENGTH;0;8;Логин;;VALUE;MIN_PWD_LENGTH;VALUE;^[0-9]*$;null;ANONYMOUS
16;0;property_MAX_PWD_LENGTH;0;100;Логин;;VALUE;MAX_PWD_LENGTH;VALUE;^[0-9]*$;null;ANONYMOUS
17;0;property_ALLOWED_PWD_SYMBOLS;0;a-z,A-Z -_;Логин;;VALUE;ALLOWED_PWD_SYMBOLS;VALUE;(?=^.{2,}$)((?=.*\d)|(?=.*\W+))(?![.\n])(?=.*[A-Z])(?=.*[a-z]).*$;null;ANONYMOUS
18;0;property_PWD_HISTORY_DEEP;0;10;Логин;;VALUE;PWD_HISTORY_DEEP;VALUE;^[0-9]*$;null;ANONYMOUS
19;0;property_PWD_INCORRECT_ATTEMPTS;0;3;Логин;;VALUE;PWD_INCORRECT_ATTEMPTS;VALUE;^[0-9]*$;null;ANONYMOUS
20;0;property_PWD_LIFE;0;60;Логин;;VALUE;PWD_LIFE;VALUE;^[0-9]*$;null;ANONYMOUS
21;0;property_PWD_NOTIFICATION;0;10;Логин;;VALUE;PWD_NOTIFICATION;VALUE;^[0-9]*$;null;CUSTOMER
22;0;property_FILE_TYPE;0;application/pdf,image/jpeg,image/jpg,image/png,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document;Письма;;PREDEFINED_VALUE;FILE_TYPE;PREDEFINED_VALUE;^(application/pdf|image/jpg|image/png|application/msword|,)+$;null;CUSTOMER
23;0;property_FILE_SIZE;0;5;Письма;;VALUE;FILE_SIZE;VALUE;^[1-9][0-9]*$;null;CUSTOMER
24;0;property_SESSION_TIME;0;1200;Логин;;VALUE;SESSION_TIME;VALUE;^[0-9]*$;null;CUSTOMER
