id_1;workflow_state_id;code;next_workflow_state_id;is_visible;customer_event;button_priority
references=next_workflow_state_id:workflow_state(external_id), workflow_state_id:workflow_state(external_id)

1;1;init;2;0;none;1
2;2;remove;5;1;deleteDocument;4
4;2;sign;6;1;signingDocument;1
18;1;scheduler;6;0;none;2
194;22;scheduler;6;0;none;2
195;23;scheduler;6;0;none;2
100;2;history;null;1;none;10
101;2;creteCopy;null;1;none;11
102;2;print;null;1;none;12
9;6;revoke;11;1;withdrawDocument;1
10;6;ok;7;0;none;2
11;6;bad;9;0;none;3
103;6;view;null;1;none;3
104;6;history;null;1;none;10
105;6;creteCopy;null;1;none;11
106;6;print;null;1;none;12
12;7;revoke;11;1;withdrawDocument;1
13;7;sendToABS;8;0;none;2
14;7;bad;9;0;none;3
107;7;view;null;1;none;3
108;7;history;null;1;none;10
109;7;creteCopy;null;1;none;11
110;7;print;null;1;none;12
15;8;revoke;11;1;withdrawDocument;1
16;8;Executed;10;0;none;2
17;8;NotAcceptedInABS;9;0;none;3
111;8;view;null;1;none;3
112;8;history;null;1;none;10
113;8;creteCopy;null;1;none;11
114;8;print;null;1;none;12
35;22;init;2;0;none;1
36;23;init;2;0;none;1
53;2;edit;null;1;none;3
75;42;remove;45;1;deleteDocument;1
77;42;edit;null;1;none;2
80;42;sign;46;1;signingDocument;3
116;42;history;null;1;none;10
117;42;creteCopy;null;1;none;11
118;42;print;null;1;none;12
84;46;ok;47;0;none;1
85;46;bad;48;0;none;2
119;46;view;null;1;none;3
120;46;history;null;1;none;10
121;46;creteCopy;null;1;none;11
122;46;print;null;1;none;12
86;47;ok;49;0;none;1
87;47;bad;48;0;none;2
88;47;xml;50;0;none;4
123;47;view;null;1;none;3
124;47;history;null;1;none;10
125;47;creteCopy;null;1;none;11
126;47;print;null;1;none;12
90;4;toDraft;2;1;toDraftDocument;3
127;4;view;null;1;none;4
128;4;history;null;1;none;10
129;4;creteCopy;null;1;none;11
130;4;print;null;1;none;12
99;8;backToRBS;7;0;none;1
131;8;view;null;1;none;3
132;8;history;null;1;none;10
133;8;creteCopy;null;1;none;11
134;8;print;null;1;none;12
74;52;init;42;1;none;1
