id_1;service_point_id;week_day;open_time;close_time;break_start;break_end
references=service_point_id:service_point(name)

1;Филиал в г.Атырау;MONDAY;09:00;18:00;13:00;14:00
2;Филиал в г.Атырау;TUESDAY;09:00;18:00;13:00;14:00
3;Филиал в г.Атырау;WEDNESDAY;09:00;18:00;13:00;14:00
4;Филиал в г.Атырау;THURSDAY;10:00;18:00;13:00;14:00
5;Филиал в г.Атырау;FRIDAY;10:00;18:00;13:00;14:00
6;Филиал в г.Атырау;SATURDAY;null;null;null;null
7;Филиал в г.Атырау;SUNDAY;null;null;null;null
8;Филиал в г.Астана;MONDAY;09:00;18:00;13:00;14:00
9;Филиал в г.Астана;TUESDAY;09:00;18:00;13:00;14:00
10;Филиал в г.Астана;WEDNESDAY;09:00;18:00;13:00;14:00
11;Филиал в г.Астана;THURSDAY;10:00;18:00;13:00;14:00
12;Филиал в г.Астана;FRIDAY;10:00;18:00;13:00;14:00
13;Филиал в г.Астана;SATURDAY;null;null;null;null
14;Филиал в г.Астана;SUNDAY;null;null;null;null
15;Филиал в г.Алматы;MONDAY;09:00;18:00;13:00;14:00
16;Филиал в г.Алматы;TUESDAY;09:00;18:00;13:00;14:00
17;Филиал в г.Алматы;WEDNESDAY;09:00;18:00;13:00;14:00
18;Филиал в г.Алматы;THURSDAY;10:00;18:00;13:00;14:00
19;Филиал в г.Алматы;FRIDAY;10:00;18:00;13:00;14:00
20;Филиал в г.Алматы;SATURDAY;null;null;null;null
21;Филиал в г.Алматы;SUNDAY;null;null;null;null
