en;ru;kk;translation_key;output_channel
keyColumns=translation_key;actionType=modify
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_1;W
Kcell;Kcell;Kcell;ps_2;W
Activ;Aсtiv;Aсtiv;ps_3;W
TELE2;TELE2;TELE2;ps_4;W
Altel;Алтел;Алтел;ps_5;W
"Kazakhtelecom" JSC;АО "Казахтелеком";"Қазақтелеком" АҚ;ps_6;W
"2DAY Telecom" LLP (Internet access "Internet at home" by Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);"2DAY Телеком"  ЖШС  (Beeline-нан "Интернет Үйде" Интернетіне қол жеткізу);ps_7;W
"TOPAZ-TELECOM" LLP;ТОО «ТОПАЗ-ТЕЛЕКОМ»; «ТОПАЗ-ТЕЛЕКОМ» ЖШС;ps_8;W
Twinncom Network;Twinncom Network;Twinncom Network;ps_9;W
OKTEL;ОКТЕЛ;ОКТЕЛ;ps_10;W
SA-Telecom fixed communication;СА-Телком фиксированная связь;СА-Телеком тыянақты байланыс;ps_11;W
Balkhash Electronic city. Internet;Балхаш Электронный Город. Интернет;Балқаш Электронды Қала. Интернет;ps_12;W
"Metro Net" LLP;ТОО «Metro Net»;«Metro Net» ЖШС;ps_13;W
"Promtel" LLP;ТОО «Promtel»;«Promtel» ЖШС;ps_14;W
"System Line" LLP;ТОО «System Line»;«System Line» ЖШС;ps_15;W
BeNetCom LLP;ТОО BeNetCom; BeNetCom ЖШС;ps_16;W
Skype;Skype;Skype;ps_17;W
Alter JET (Retail);Altel JET (Retail);Altel JET (Retail);ps_18;W
AstanaMegaTel LLP;ТОО АстанаМегаТел; АстанаМегаТел ЖШС;ps_19;W
"Transtelecom" JSC;АО «Транстелеком»; «Транстелеком» АҚ;ps_20;W
Transtelecom" JSC (Direct);АО «Транстелеком» (Direct); «Транстелеком» (Direct) АҚ;ps_21;W
"AlmaTV" LLP;ТОО «АлмаТВ»;«АлмаТВ» ЖШС;ps_22;W
"TV company "43 cahnnel" LLP;ТОО «Телекомпания «43 канал»; «Телекомпания «43 канал» ЖШС;ps_23;W
"Kazteleradio full package" JSC (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);"Қазтелерадио толық пакет" АҚ (OTAU TV);ps_24;W
"Kostanay cable networks" (Kabelnye seti Kostanay) LLP;ТОО "Кабельные сети Костаная"; "Қостанай Кабель желілері" ЖШС;ps_25;W
TAU TV*;ТАУ TV*;ТАУ TV*;ps_26;W
Bazis-Telecom of Almaty;Базис-Телеком г.Алматы;Базис-Телеком Алматы қ.;ps_27;W
Tricolor TV;Триколор ТВ;Триколор ТВ;ps_28;W
NTV-Plus;НТВ-Плюс;НТВ-Плюс;ps_29;W
ALSECO*;АЛСЕКО*;АЛСЕКО*;ps_30;W
Information computer center (ICC)*;ИВЦ*;АЕО*;ps_31;W
EPC forfait;ЭПК forfait;ЭПК forfait;ps_32;W
Zheskazgan EnergoSbyt;Жесказган ЭнергоСбыт;Жезқазған ЭнергоӨткізу;ps_33;W
AlmatyEnergoSbyt (individuals)*;АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (жеке тұлғалар)*;ps_34;W
Batys Su Arnasy;Батыс Су Арнасы;Батыс Су Арнасы;ps_35;W
Omega Xxi Shymkent (Energopotok, KazTransGazAimak, other);Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергоағын, ҚазТрансГазАймақ, өзгелер];ps_36;W
(Omega XXI) Region;[Омега XXI] Область;[Омега XXI] Облыс;ps_37;W
karagangy GorKomTrans LLP;ТОО Караганды ГорКомТранс;Қарағанды ҚалаКомТранс ЖШС;ps_38;W
Mulе Service;Мюль Сервис;Мюль Сервис;ps_39;W
Public house intercom;Народный домофон;Халықтық домофон;ps_40;W
Zholaushy-SK;Жолаушы-СК;Жолаушы-СК;ps_41;W
Koksheenergoservice *;Кокшеэнергосервис*;Кокшеэнергосервис*;ps_42;W
CenterCommunPlat-ARS;ЦентрКоммунПлат-АРС;ОрталықКоммунПлат-АРС;ps_43;W
Enterprise Speczavto-transport;Предприятие Спецавто-транспорта;Арнайы авто-көлік кәсіпорны;ps_44;W
MCC (Main Clearing Center) Kapchagai;ЕРЦ Капчагай;Қапшағай БЕО;ps_45;W
RCCG (Regional Center for Corporate Governance) Taraz [Zhambyl-zhylu, KazTransGas Aimak, others];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, ҚазТрансГаз Аймақ, өзгелер];ps_46;W
"Kostanay energy park" LLP (Kostanay Energocentr);ТОО «Костанайский ЭнергоЦентр»*;«Қостанай ЭнергоОрталығы» ЖШС*;ps_47;W
AREK-Energosbyt. International*;АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернационалды*;ps_48;W
