id_1;is_deleted;code;short_name;full_name;int_short_name;int_full_name;mail_address;int_mail_address;telephone;fax;swift_code;bik;external_id
keyColumns=code
1;0;11;ДО АО БАНК ВТБ (КАЗАХСТАН);ДО АО БАНК ВТБ (КАЗАХСТАН);ДО АО БАНК ВТБ (КАЗАХСТАН);ДО АО БАНК ВТБ (КАЗАХСТАН);mailAddress;mailAddress;;;;;001
2;0;004;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ПАВЛОДАР;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ПАВЛОДАР;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ПАВЛОДАР;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ПАВЛОДАР;mailAddress;mailAddress;;;;;004
3;0;005;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КАРАГАНДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КАРАГАНДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КАРАГАНДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КАРАГАНДА;mailAddress;mailAddress;;;;;005
4;0;006;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. УСТЬ-КАМЕНОГОРСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. УСТЬ-КАМЕНОГОРСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. УСТЬ-КАМЕНОГОРСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. УСТЬ-КАМЕНОГОРСК;mailAddress;mailAddress;;;;;006
5;0;007;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АТЫРАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АТЫРАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АТЫРАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АТЫРАУ;mailAddress;mailAddress;;;;;007
6;0;010;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ТАРАЗ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ТАРАЗ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ТАРАЗ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ТАРАЗ;mailAddress;mailAddress;;;;;010
7;0;011;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ШЫМКЕНТ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ШЫМКЕНТ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ШЫМКЕНТ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. ШЫМКЕНТ;mailAddress;mailAddress;;;;;011
8;0;012;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ТАЛДЫКОРГАН;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ТАЛДЫКОРГАН;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ТАЛДЫКОРГАН;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ТАЛДЫКОРГАН;mailAddress;mailAddress;;;;;012
9;0;013;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КОСТАНАЙ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КОСТАНАЙ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КОСТАНАЙ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.КОСТАНАЙ;mailAddress;mailAddress;;;;;013
10;0;014;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КОКШЕТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КОКШЕТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КОКШЕТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КОКШЕТАУ;mailAddress;mailAddress;;;;;014
11;0;015;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.УРАЛЬСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.УРАЛЬСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.УРАЛЬСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.УРАЛЬСК;mailAddress;mailAddress;;;;;015
12;0;016;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ПЕТРОПАВЛОВСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ПЕТРОПАВЛОВСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ПЕТРОПАВЛОВСК;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г.ПЕТРОПАВЛОВСК;mailAddress;mailAddress;;;;;016
13;0;017;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КЫЗЫЛОРДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КЫЗЫЛОРДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КЫЗЫЛОРДА;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. КЫЗЫЛОРДА;mailAddress;mailAddress;;;;;017
14;0;018;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АКТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АКТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АКТАУ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АКТАУ;mailAddress;mailAddress;;;;;018
15;0;019;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АЛМАТЫ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АЛМАТЫ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АЛМАТЫ;ФИЛИАЛ ДО АО БАНК ВТБ (КАЗАХСТАН) В Г. АЛМАТЫ;mailAddress;mailAddress;;;;;019
16;0;020;ФИЛИАЛ «СТОЛИЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «СТОЛИЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «СТОЛИЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «СТОЛИЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);mailAddress;mailAddress;;;;;020
17;0;021;ФИЛИАЛ «ЗАПАДНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ЗАПАДНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ЗАПАДНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ЗАПАДНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);mailAddress;mailAddress;;;;;021
18;0;022;ФИЛИАЛ «ВОСТОЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ВОСТОЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ВОСТОЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);ФИЛИАЛ «ВОСТОЧНЫЙ» ДО АО БАНК ВТБ (КАЗАХСТАН);mailAddress;mailAddress;;;;;022
