id_1;is_deleted;name_id;swift;account_number;currency
references=name_id:translation(translation_key); keyColumns=account_number

1;0;VTB_USD_CORRESPONDENT_BANK_1;IRVTUS3N;890-0720-530;USD
2;0;VTB_USD_CORRESPONDENT_BANK_2;VTBRRUMM;30111840455550000134;USD
3;0;VTB_EUR_CORRESPONDENT_BANK_1;OWHBDEFF;105265391;EUR
4;0;VTB_GBP_CORRESPONDENT_BANK_1;RBOSGB2L;16003410792310;GBP
5;0;VTB_GBP_CORRESPONDENT_BANK_2;OWHBDEFF;105265425;GBP
6;0;VTB_RUB_CORRESPONDENT_BANK_1;;30111810355550000170;RUB
7;0;VTB_CNY_CORRESPONDENT_BANK_1;ICBKRUMM;3010915680000000187;CNY
8;0;VTB_CNY_CORRESPONDENT_BANK_2;VTBRRUMM;30111156455550000006;CNY
9;0;VTB_AUD_CORRESPONDENT_BANK_1;CITIGB2L;0017486421;AUD
10;0;VTB_AUD_CORRESPONDENT_BANK_2;VTBRRUMM;30111036055550000005;AUD
