external_id;document_state;document_type;is_first
keyColumns=external_id

domesticTransfer_init;Draft;DomesticTransfer;1
payment_draft;Draft;null;0
3;AwaitsSignature;null;0
4;Signed;null;0
payment_deleted;Deleted;null;0
payment_sentToRBS;SentToRBS;null;0
payment_acceptedInRBS;AcceptedInRBS;null;0
payment_acceptedInABS;AcceptedInABS;null;0
payment_notAcceptedInABS;NotAcceptedInABS;null;0
payment_executed;Executed;null;0
payment_revoked;Revoked;null;0
13;Draft;null;0
accountTransfer_init;Draft;AccountTransfer;1
internationalTransfer_init;Draft;InternationalTransfer;1
demand_init;Draft;Demand;1
demand_draft;Draft;null;0
43;AwaitsSignature;null;0
44;Signed;null;0
demand_deleted;Deleted;null;0
demand_sentToRBS;SentToRBS;null;0
demand_acceptedInRBS;AcceptedInRBS;null;0
demand_notAcceptedInABS;NotAcceptedInABS;null;0
demand_executed1;Executed;null;0
demand_executed2;Executed;null;0
53;AcceptedInRBS;null;0
25;Draft;null;0
26;AwaitsSignature;null;0
27;Signed;null;0
55;Accepted;null;0
56;Pay;null;0
57;Refused;null;0
58;AcceptedInRBS;null;0
standingorder_init;Draft;StandingOrder;1
standingorder_draft;Draft;null;0
standingorder_delete;Deleted;null;0
standingorder_signed;Signed;null;0
standingorder;Standing;null;0
standingorder_suspended;Suspended;null;0
34;Draft;null;0
35;AwaitsSignature;null;0
36;Signed;null;0
37;SentToRBS;null;0
38;AcceptedInRBS;null;0
60;Suspended;null;0
39;Deleted;null;0
40;Executed;null;0
41;NotAcceptedInABS;null;0
51_draft;Draft;null;0
