workflow_state_id;code;next_workflow_state_id;is_visible;customer_event;button_priority
references=next_workflow_state_id:workflow_state(external_id), workflow_state_id:workflow_state(external_id)

domesticTransfer_init;init;payment_draft;0;none;1
accountTransfer_init;init;payment_draft;0;none;1
internationalTransfer_init;init;payment_draft;0;none;1
domesticTransfer_init;scheduler;payment_sentToRBS;0;none;2
accountTransfer_init;scheduler;payment_sentToRBS;0;none;2
internationalTransfer_init;scheduler;payment_sentToRBS;0;none;2

payment_draft;remove;payment_deleted;1;deleteDocument;4
payment_draft;sign;payment_sentToRBS;1;signingDocument;1
payment_draft;standing;standingorder;0;none;9
payment_draft;view;null;1;none;3
payment_draft;history;null;1;none;10
payment_draft;creteCopy;null;1;none;11
payment_draft;edit;null;1;none;3

payment_sentToRBS;ok;payment_acceptedInRBS;0;none;2
payment_sentToRBS;bad;payment_notAcceptedInABS;0;none;3
payment_sentToRBS;view;null;1;none;3
payment_sentToRBS;history;null;1;none;10

payment_acceptedInRBS;sendToABS;payment_acceptedInABS;0;none;2
payment_acceptedInRBS;bad;payment_notAcceptedInABS;0;none;3
payment_acceptedInRBS;view;null;1;none;3
payment_acceptedInRBS;history;null;1;none;10

payment_acceptedInABS;Executed;payment_executed;0;none;2
payment_acceptedInABS;NotAcceptedInABS;payment_notAcceptedInABS;0;none;3
payment_acceptedInABS;view;null;1;none;3
payment_acceptedInABS;history;null;1;none;10
payment_acceptedInABS;backToRBS;payment_acceptedInRBS;0;none;1
payment_acceptedInABS;view;null;1;none;3
payment_acceptedInABS;history;null;1;none;10

payment_deleted;view;null;1;none;3
payment_deleted;history;null;1;none;10

payment_executed;view;null;1;none;3
payment_executed;history;null;1;none;10

payment_notAcceptedInABS;view;null;1;none;3
payment_notAcceptedInABS;history;null;1;none;10

demand_draft;remove;demand_deleted;1;deleteDocument;1
demand_draft;edit;null;1;none;2
demand_draft;sign;demand_sentToRBS;1;signingDocument;3
demand_draft;history;null;1;none;10
demand_draft;creteCopy;null;1;none;11
demand_sentToRBS;ok;demand_acceptedInRBS;0;none;1
demand_sentToRBS;bad;demand_notAcceptedInABS;0;none;2
demand_sentToRBS;view;null;1;none;3
demand_sentToRBS;history;null;1;none;10
demand_sentToRBS;creteCopy;null;1;none;11
demand_acceptedInRBS;ok;demand_executed1;0;none;1
demand_acceptedInRBS;bad;demand_notAcceptedInABS;0;none;2
demand_acceptedInRBS;xml;demand_executed2;0;none;4
demand_acceptedInRBS;view;null;1;none;3
demand_acceptedInRBS;history;null;1;none;10
demand_acceptedInRBS;creteCopy;null;1;none;11
demand_init;init;demand_draft;1;none;1

standingorder_init;init;standingorder_draft;0;none;1
standingorder_draft;remove;standingorder_delete;1;deleteDocument;1
standingorder_draft;edit;null;1;editRequest;3
standingorder_draft;sign;standingorder_signed;1;none;1
standingorder_signed;toDraft;standingorder_draft;1;toDraftDocument;1
standingorder_signed;remove;standingorder_delete;1;deleteDocument;2
standingorder_signed;view;null;1;none;4
standingorder_signed;standing;standingorder;0;none;9
standingorder;remove;standingorder_delete;0;deleteDocument;4
standingorder;view;null;1;none;4
standingorder_signed;deactivate;standingorder_suspended;1;none;2
standingorder_suspended;activate;standingorder_signed;1;none;2

4;toDraft;payment_draft;1;toDraftDocument;3
4;view;null;1;none;4
4;history;null;1;none;10
4;creteCopy;null;1;none;11
34;remove;39;1;deleteDocument;1
34;submit;35;1;toSignDocument;2
34;edit;null;1;editRequest;3
34;history;null;1;none;10
34;creteCopy;null;1;none;11
34;print;null;1;none;12
35;sign;36;1;none;1
35;toDraft;34;1;toDraftDocument;2
35;remove;39;1;deleteDocument;3
35;view;null;1;none;4
35;history;null;1;none;10
35;creteCopy;null;1;none;11
35;print;null;1;none;12
36;toDraft;34;1;toDraftDocument;1
36;remove;39;1;deleteDocument;2
36;receivedInABS;37;1;none;3
36;view;null;1;none;4
36;history;null;1;none;10
36;creteCopy;null;1;none;11
36;print;null;1;none;12
37;toDraft;34;1;toDraftDocument;1
37;remove;39;1;deleteDocument;2
37;ok;38;0;none;3
37;bad;41;0;none;4
37;view;null;1;none;5
37;history;null;1;none;10
37;creteCopy;null;1;none;11
37;print;null;1;none;12
38;toDraft;34;1;toDraftDocument;1
38;remove;39;1;deleteDocument;2
38;ok;40;0;none;3
38;bad;41;0;none;4
38;view;null;1;none;5
38;history;null;1;none;10
38;creteCopy;null;1;none;11
38;print;null;1;none;12
38;deactivate;60;1;none;6
34;sign;36;1;signingDocument;1
60;activate;38;1;none;1
60;view;null;1;none;5
60;history;null;1;none;10
60;creteCopy;null;1;none;11
60;print;null;1;none;12
60;remove;payment_deleted;1;deleteDocument;2
