is_deleted;schedule;max_execution_time;job_id
references=job_id:job(code); keyColumns=job_id

0;0 0/20 * * * *;60;EXCHANGE_RATE
0;0 0/17 * * * *;50;ACCOUNT
0;59 19/19 * * * *;120;DEPOSIT
0;0 0/20 * * * *;100;CARD
0;0 0/20 * * * *;120;CREDIT
0;0 0/20 * * * *;120;ORGANIZATION
1;0 0/59 * * * *;3000;CARD_STATEMENT
1;0 0 * * * *;1000;NOTIFICATIONS
1;0 0 * * * *;1000;PUSH_MESSAGES
0;0 0/20 * * * *;1000;EXPORT_DOMESTIC_TRANSFER
0;0 0/20 * * * *;1000;EXPORT_INTERNATIONAL
0;0 0/20 * * * *;1000;REGISTRATION_CUSTOMER
0;0 0/20 * * * *;1000;EXPORT_ACCOUNT_TRANSFER
1;0 0/59 * * * *;3000;ACCOUNT_STATEMENT
0;0 0/20 * * * *;1000;DOC_STATE_CHANGED
0;0 0/20 * * * *;120;EXPORT_CURR_CONVERSION
1;0 0 1/1 * * *;120;LOCAL_BANK
0;0 0 0 * * *;12000000;BANK
1;0 0 1/1 * * *;1200;PAYMENT_CODE
1;0 0 1/1 * * *;1200;BUDGET_CLASSIFICATION_CODE
0;0 0/59 * * * *;1200;DOCUMENT_IDENTITY
0;0 0/20 * * * *;120;PAY_CARD_P2P
0;0 0/20 * * * *;120;CREDIT_SCHEDULE
0;0 0/20 * * * *;120;RU_BANK
0;0 0 * * * *;7200;STANDING_ORDERS
