auth_factor_id;company_person_id;valid_from;valid_to;is_sign_allow;role_list
references=company_person_id:company_person(external_id), auth_factor_id:auth_factor(code); actionType = ignore_not_empty
1;22;null;null;1;[1]
1;24;null;null;1;[1]
1;26;null;null;1;[1]
1;28;null;null;1;[1]
1;45;null;null;1;[1]
1;51;null;null;1;[1]
1;53;null;null;1;[1]
1;55;null;null;1;[1]
1;58;null;null;1;[1]
1;61;null;null;1;[1]
1;62;null;null;1;[1]
1;64;null;null;1;[1]
1;66;null;null;1;[1]
1;68;null;null;1;[1]
1;71;null;null;1;[1]
1;74;null;null;1;[1]
1;77;null;null;1;[1]
